,spk,filename,stage,trigger start,trigger end,trigger score,SNR,NetSpeech,NetSpeechAccum,NoiseLevel,PlosiveRatio,SaturationRatio,SpeechRatio
34,spk00008,RAW_SPK00008_M_P2105_L001_01_01_99_20180321_172030.wav,train,272,896,0.281409726,36.95796585,1380,1380,39.90422821,0,0,67.64705658
35,spk00008,RAW_SPK00008_M_P2136_L001_01_01_99_20180321_172109.wav,train,0,816,0.009478679,32.95946503,2270,2270,46.73231125,0,0,71.83544159
36,spk00008,RAW_SPK00008_M_P2140_L001_01_01_99_20180321_172158.wav,train,160,784,0.409867113,39.45759964,580,580,40.64155579,15.99576283,0,54.20560837
37,spk00008,RAW_SPK00008_M_P2141_L001_01_01_99_20180321_172207.wav,train,240,864,0.044709229,39.00362015,2520,2520,38.83591461,0,0,85.42372894
38,spk00009,RAW_SPK00009_M_P2105_L001_01_01_99_20180321_171953.wav,train,592,1296,0.007538476,27.33367348,1400,1400,42.59467697,67.15035248,0,63.63636398
39,spk00009,RAW_SPK00009_M_P2119_L001_01_01_99_20180321_172014.wav,train,1056,1680,0.030954212,27.13636017,2090,2090,47.3018837,18.295187,0,67.4193573
33,spk00007,RAW_SPK00007_F_P2141_L001_01_01_99_20180321_170722.wav,train,720,1344,0.004049345,23.08112717,2290,2290,50.59298325,15.11485004,0,75.57756042
41,spk00009,RAW_SPK00009_M_P2140_L001_01_01_99_20180321_172141.wav,train,672,1392,0.008513749,33.10271072,3810,3810,42.98146439,0,0,60.76554871
400,spk00007,RAW_SPK00007_F_P2141_L001_01_01_99_20180321_170722.wav,train,720,1344,0.004049345,23.08112717,2290,2290,50.59298325,15.11485004,0,75.57756042
43,spk00010,RAW_SPK00010_M_P2105_L001_01_01_99_20180321_174532.wav,train,0,720,0.006326474,35.06214905,1940,1940,44.29640961,0,0,76.37795258
44,spk00010,RAW_SPK00010_M_P2119_L001_01_01_99_20180321_174555.wav,train,512,1120,0.025079036,37.71527863,580,580,42.53754425,20.74152565,0,42.02898407
45,spk00010,RAW_SPK00010_M_P2136_L001_01_01_99_20180321_174609.wav,train,0,848,0.007281077,36.60760498,560,560,42.98931885,34.83552551,0,49.12280655
46,spk00010,RAW_SPK00010_M_P2140_L001_01_01_99_20180321_174634.wav,train,0,768,0.007833557,31.84178352,4050,4050,48.29622269,1.156784892,0,80.19802094
47,spk00010,RAW_SPK00010_M_P2141_L001_01_01_99_20180321_174642.wav,train,480,1024,0.008918295,25.4125576,3280,3280,50.76224518,0,0,82.205513
48,spk00011,RAW_SPK00011_M_P2105_L001_01_01_99_20180321_181537.wav,train,816,1408,0.0118167,35.30335617,1600,1600,45.03609848,0,0,76.55502319
49,spk00011,RAW_SPK00011_M_P2119_L001_01_01_99_20180321_181551.wav,train,928,1584,0.003413528,34.17395782,4960,4960,38.22324371,0,0,75.72518921
50,spk00011,RAW_SPK00011_M_P2136_L001_01_01_99_20180321_181608.wav,train,800,1472,0.008347052,25.21044731,2550,2550,46.63907623,0,0,73.48703003
51,spk00011,RAW_SPK00011_M_P2140_L001_01_01_99_20180321_181644.wav,train,976,1584,0.011844526,33.07100677,3730,3730,42.48071671,0,0,77.87056732
40,spk00009,RAW_SPK00009_M_P2136_L001_01_01_99_20180321_172053.wav,train,720,1552,0.006683794,23.02171898,2500,2500,47.70320511,41.0506897,0,77.39938354
407,spk00009,RAW_SPK00009_M_P2136_L001_01_01_99_20180321_172053.wav,train,720,1552,0.006683794,23.02171898,2500,2500,47.70320511,41.0506897,0,77.39938354
42,spk00009,RAW_SPK00009_M_P2141_L001_01_01_99_20180321_172157.wav,train,720,1360,0.005375064,18.65492249,2240,2240,54.20876694,30.69805145,0,67.06586456
409,spk00009,RAW_SPK00009_M_P2141_L001_01_01_99_20180321_172157.wav,train,720,1360,0.005375064,18.65492249,2240,2240,54.20876694,30.69805145,0,67.06586456
52,spk00011,RAW_SPK00011_M_P2141_L001_01_01_99_20180321_181653.wav,train,800,1440,0.003120797,22.8135376,2660,2660,48.9553299,0,0,72.67759705
57,spk00013,RAW_SPK00013_M_P2105_L001_01_01_99_20180321_212810.wav,train,336,1072,0.004293539,40.73176575,1310,1310,37.45746994,0,0,47.63636398
58,spk00013,RAW_SPK00013_M_P2136_L001_01_01_99_20180321_212851.wav,train,352,1024,0.007965447,37.46332932,2360,2360,39.76062393,0,0,60.35805511
59,spk00013,RAW_SPK00013_M_P2140_L001_01_01_99_20180321_212933.wav,train,400,1008,0.006348766,31.23674965,3000,3000,48.85348129,0,0,69.28406525
60,spk00013,RAW_SPK00013_M_P2141_L001_01_01_99_20180321_212943.wav,train,560,1232,0.013017796,29.36310387,1960,1960,47.50411606,0,0,62.22222137
61,spk00014,RAW_SPK00014_M_P2105_L001_01_01_99_20180321_224100.wav,train,208,1136,0.005117315,40.67921066,2210,2210,43.53105927,0,0,60.7142868
62,spk00014,RAW_SPK00014_M_P2119_L001_01_01_99_20180321_224132.wav,train,448,1136,0.003501049,40.75371933,4820,4820,45.21729279,0,0,61.16751099
63,spk00014,RAW_SPK00014_M_P2136_L001_01_01_99_20180321_224156.wav,train,1024,1424,0.021253495,31.85900307,3440,3440,52.02330017,0,0,74.29805756
64,spk00014,RAW_SPK00014_M_P2140_L001_01_01_99_20180321_224312.wav,train,816,1440,0.992762785,41.97066498,3300,3300,44.32822418,0,0,70.21276855
65,spk00014,RAW_SPK00014_M_P2141_L001_01_01_99_20180321_224333.wav,train,2112,3040,0.004364127,38.71128082,2590,2590,42.78186035,0,0,67.80104828
66,spk00015,RAW_SPK00015_F_P2105_L001_01_01_99_20180322_004040.wav,train,656,1456,0.003669939,25.88408661,1710,1710,48.04166794,4.046242714,0,70.08197021
67,spk00015,RAW_SPK00015_F_P2119_L001_01_01_99_20180322_004056.wav,train,496,1296,0.00938808,30.22020912,3750,3750,47.38922501,0,0,65.55944061
68,spk00015,RAW_SPK00015_F_P2136_L001_01_01_99_20180322_004114.wav,train,880,1696,0.008375748,27.31453514,3250,3250,46.74887085,0,0,75.93457794
69,spk00015,RAW_SPK00015_F_P2140_L001_01_01_99_20180322_004147.wav,train,672,1472,0.003005569,30.17801857,4100,4100,46.83398819,0,0,80.86785126
70,spk00015,RAW_SPK00015_F_P2141_L001_01_01_99_20180322_004214.wav,train,960,1664,0.003499712,29.31464386,2930,2930,45.6678009,0,0,83.4757843
71,spk00016,RAW_SPK00016_F_P2105_L001_01_01_99_20180322_030137.wav,train,432,1280,0.004102735,35.48686218,2780,2780,43.87336349,0,0,69.84924316
72,spk00016,RAW_SPK00016_F_P2119_L001_01_01_99_20180322_030155.wav,train,640,1504,0.00404163,34.78771973,5100,5100,43.67309189,1.192084908,0,66.49282837
73,spk00016,RAW_SPK00016_F_P2136_L001_01_01_99_20180322_030217.wav,train,384,1184,0.010496458,29.00920105,3830,3830,50.15307617,0,0,74.95107269
74,spk00016,RAW_SPK00016_F_P2140_L001_01_01_99_20180322_030302.wav,train,560,944,0.006203883,33.20084381,4470,4470,46.62975311,0,0.509615362,74.62437439
75,spk00016,RAW_SPK00016_F_P2141_L001_01_01_99_20180322_030314.wav,train,432,1328,0.004457529,33.33630753,3890,3890,45.3609314,7.210559845,0,85.1203537
419,spk00011,RAW_SPK00011_M_P2141_L001_01_01_99_20180321_181653.wav,train,800,1440,0.003120797,22.8135376,2660,2660,48.9553299,0,0,72.67759705
53,spk00012,RAW_SPK00012_M_P2105_L001_01_01_99_20180321_204843.wav,train,288,816,0.003789779,17.94220352,780,780,66.18889618,0,0,69.64286041
54,spk00012,RAW_SPK00012_M_P2119_L001_01_01_99_20180321_204852.wav,train,0,416,0.005222468,18.43491745,530,530,66.75500488,0,0,74.64788818
55,spk00012,RAW_SPK00012_M_P2136_L001_01_01_99_20180321_204910.wav,train,0,752,0.003556692,17.45809364,730,730,67.31077576,5.333333492,0,71.5686264
56,spk00012,RAW_SPK00012_M_P2141_L001_01_01_99_20180321_204939.wav,train,0,592,0.003282318,14.93117332,730,730,67.57089233,0,0,82.02246857
81,spk00018,RAW_SPK00018_M_P2105_L001_01_01_99_20180322_121458.wav,train,848,1664,0.005465791,37.32041168,1820,1820,46.87683868,0,0,67.15866852
82,spk00018,RAW_SPK00018_M_P2119_L001_01_01_99_20180322_121524.wav,train,848,1360,0.022344882,38.16193008,4460,4460,47.3331604,0,0,55.88972473
83,spk00018,RAW_SPK00018_M_P2136_L001_01_01_99_20180322_121551.wav,train,912,1456,0.009653015,33.81055069,2990,2990,48.86840057,0,0,66.15044403
84,spk00018,RAW_SPK00018_M_P2140_L001_01_01_99_20180322_121653.wav,train,768,1264,0.005123977,36.8636055,3930,3930,48.62289047,0,0,63.0818634
85,spk00018,RAW_SPK00018_M_P2141_L001_01_01_99_20180322_121709.wav,train,912,1392,0.016251066,28.35279655,3000,3000,54.65026474,0,1.616449475,68.96551514
76,spk00017,RAW_SPK00017_F_P2105_L001_01_01_99_20180322_074113.wav,train,704,1408,0.992833158,19.10438919,660,660,70.27991486,0,0,44.89796066
77,spk00017,RAW_SPK00017_F_P2119_L001_01_01_99_20180322_074127.wav,train,576,1280,0.026148265,20.67230606,640,640,70.93922424,0,0,43.53741455
78,spk00017,RAW_SPK00017_F_P2136_L001_01_01_99_20180322_074150.wav,train,768,1328,0.00436017,22.6020298,970,970,65.19651031,0,0,72.93232727
79,spk00017,RAW_SPK00017_F_P2140_L001_01_01_99_20180322_074230.wav,train,912,1648,0.009148349,18.48573875,930,930,71.63330078,0,0,61.58940506
80,spk00017,RAW_SPK00017_F_P2141_L001_01_01_99_20180322_074238.wav,train,832,1424,0.005224773,13.92931271,790,790,70.83963013,0,0,58.08823395
91,spk00020,RAW_SPK00020_F_P2105_L001_01_01_99_20180322_143025.wav,train,224,1200,0.005318461,32.51631546,2320,2320,44.22029114,0,0,69.46107483
92,spk00020,RAW_SPK00020_F_P2119_L001_01_01_99_20180322_143042.wav,train,352,1216,0.003599622,30.07637405,5340,5340,46.51371384,0,0,83.96226501
93,spk00020,RAW_SPK00020_F_P2136_L001_01_01_99_20180322_143059.wav,train,784,1728,0.004247505,27.56276131,3800,3800,46.78878784,0,0,87.75981903
94,spk00020,RAW_SPK00020_F_P2140_L001_01_01_99_20180322_143137.wav,train,832,1808,0.022000488,28.0329628,4020,4020,50.38121033,0,0,84.98942566
86,spk00019,RAW_SPK00019_F_P2105_L001_01_01_99_20180322_155553.wav,train,832,1504,0.007564237,17.08385658,880,880,70.08924103,0,0,61.11111069
87,spk00019,RAW_SPK00019_F_P2119_L001_01_01_99_20180322_155604.wav,train,672,1472,0.006254973,16.6119442,780,780,69.36294556,0,0,49.68153
88,spk00019,RAW_SPK00019_F_P2136_L001_01_01_99_20180322_155618.wav,train,512,1168,0.013290143,17.07237625,880,880,66.582901,0,0,61.53845978
89,spk00019,RAW_SPK00019_F_P2140_L001_01_01_99_20180322_155648.wav,train,768,1440,0.004898037,17.78437805,850,850,69.98964691,3.658707857,0,59.02777863
90,spk00019,RAW_SPK00019_F_P2141_L001_01_01_99_20180322_155659.wav,train,432,1120,0.004870482,17.50189018,860,860,70.07205963,0,0,60.99290848
100,spk00022,RAW_SPK00022_M_P2105_L001_01_01_99_20180322_144854.wav,train,64,720,0.003864894,32.71800232,1600,1600,49.01325989,0,0,69.56521606
101,spk00022,RAW_SPK00022_M_P2140_L001_01_01_99_20180322_144952.wav,train,720,1328,0.022178536,34.47076797,4060,4060,51.86309052,0,0,71.3532486
95,spk00021,RAW_SPK00021_M_P2105_L001_01_01_99_20180322_143107.wav,train,0,720,0.004724656,19.45785141,680,680,70.50242615,0,0,67.32673645
103,spk00023,RAW_SPK00023_M_P2105_L001_01_01_99_20180322_151831.wav,train,0,704,0.008348935,25.85926437,1700,1700,60.0190239,0,0,82.12560272
104,spk00023,RAW_SPK00023_M_P2136_L001_01_01_99_20180322_151857.wav,train,0,576,0.005467219,39.35244751,570,570,48.49276733,0,0,67.05882263
105,spk00023,RAW_SPK00023_M_P2140_L001_01_01_99_20180322_151925.wav,train,240,896,0.024715022,31.04617691,3600,3600,54.88350296,0,0,78.26087189
96,spk00021,RAW_SPK00021_M_P2119_L001_01_01_99_20180322_143118.wav,train,400,1168,0.006474127,21.82785988,750,750,71.35340118,0,0,51.3698616
97,spk00021,RAW_SPK00021_M_P2136_L001_01_01_99_20180322_143134.wav,train,352,1072,0.990027079,20.5355587,650,650,70.71390533,0,0,47.44525528
108,spk00024,RAW_SPK00024_M_P2119_L001_01_01_99_20180322_152434.wav,train,368,992,0.009056665,26.03611374,2960,2960,54.41175842,0,0,62.31578827
109,spk00024,RAW_SPK00024_M_P2136_L001_01_01_99_20180322_152448.wav,train,0,848,0.009554397,26.17771912,560,560,53.57266617,0,0,49.55752182
98,spk00021,RAW_SPK00021_M_P2140_L001_01_01_99_20180322_143203.wav,train,544,1136,0.012737023,19.40322113,750,750,70.87824249,0,0,55.14706039
99,spk00021,RAW_SPK00021_M_P2141_L001_01_01_99_20180322_143213.wav,train,464,1168,0.021239229,19.52861404,720,720,71.04407501,0,0,49.65517426
112,spk00025,RAW_SPK00025_F_P2105_L001_01_01_99_20180322_192622.wav,train,384,1120,0.005992159,38.91373825,1890,1890,59.15467834,0,0,82.17391205
113,spk00025,RAW_SPK00025_F_P2119_L001_01_01_99_20180322_192634.wav,train,352,1136,0.005772324,47.20079422,4030,4030,51.65648651,0,0,83.26446533
114,spk00025,RAW_SPK00025_F_P2136_L001_01_01_99_20180322_192648.wav,train,336,1088,0.984661156,39.75409698,4090,4090,56.54094315,0,0,86.46934509
115,spk00025,RAW_SPK00025_F_P2140_L001_01_01_99_20180322_192716.wav,train,464,1216,0.305939649,53.27150726,4330,4330,46.62161255,0,0,75.69930267
116,spk00025,RAW_SPK00025_F_P2141_L001_01_01_99_20180322_192725.wav,train,512,1296,0.003810631,50.17392731,3270,3270,45.05611801,0,0,82.57575989
117,spk00026,RAW_SPK00026_F_P2105_L001_01_01_99_20180322_175502.wav,train,144,1072,0.016383769,35.04485703,540,540,45.55688095,0,0,40
118,spk00026,RAW_SPK00026_F_P2119_L001_01_01_99_20180322_175518.wav,train,880,1600,0.008555916,30.25925827,4170,4170,45.62129211,0,0,72.64808655
119,spk00026,RAW_SPK00026_F_P2136_L001_01_01_99_20180322_175537.wav,train,832,1536,0.003643008,28.91699982,3130,3130,43.45712662,0,0,74.52381134
120,spk00026,RAW_SPK00026_F_P2140_L001_01_01_99_20180322_175613.wav,train,288,1216,0.003017534,30.83203888,3790,3790,47.902668,0,0,78.30578613
121,spk00026,RAW_SPK00026_F_P2141_L001_01_01_99_20180322_175630.wav,train,224,1152,0.003509335,28.71566582,3070,3070,45.29349899,0,0,74.69586182
122,spk00027,RAW_SPK00027_M_P2105_L001_01_01_99_20180322_190541.wav,train,416,1040,0.00755454,37.83730698,1540,1540,38.48550797,0,0,64.70587921
123,spk00027,RAW_SPK00027_M_P2119_L001_01_01_99_20180322_190556.wav,train,624,1328,0.004189792,38.52373505,3610,3610,38.29622269,0,0,77.63440704
124,spk00027,RAW_SPK00027_M_P2136_L001_01_01_99_20180322_190613.wav,train,624,1248,0.008898828,36.26054001,2580,2580,39.99768448,0,0,73.08782196
125,spk00027,RAW_SPK00027_M_P2140_L001_01_01_99_20180322_190650.wav,train,336,1024,0.010425733,36.91036606,3670,3670,40.1387825,0,0,77.91931915
126,spk00027,RAW_SPK00027_M_P2141_L001_01_01_99_20180322_190703.wav,train,432,1120,0.009113122,36.93642426,2460,2460,38.00053024,0,0,73.6526947
127,spk00028,RAW_SPK00028_M_P2105_L001_01_01_99_20180322_204844.wav,train,480,1232,0.00452534,43.97387314,1660,1660,42.52496719,0,0,66.1354599
128,spk00028,RAW_SPK00028_M_P2119_L001_01_01_99_20180322_204900.wav,train,448,1312,0.029769888,47.8377037,4520,4520,43.32510757,0,0,61.83310699
129,spk00028,RAW_SPK00028_M_P2136_L001_01_01_99_20180322_204921.wav,train,576,1472,0.005260676,44.44710541,3200,3200,43.58086014,0.113461539,0,74.94145203
130,spk00028,RAW_SPK00028_M_P2140_L001_01_01_99_20180322_204959.wav,train,832,1296,0.006522604,43.37399673,4230,4230,47.41513443,0,0,67.35668945
131,spk00028,RAW_SPK00028_M_P2141_L001_01_01_99_20180322_205009.wav,train,464,1248,0.010776901,38.72330475,3360,3360,50.16698074,0,0,72.25806427
102,spk00022,RAW_SPK00022_M_P2141_L001_01_01_99_20180322_145001.wav,train,32,720,0.004672479,22.47760391,800,800,64.77845001,0,0,79.20792389
450,spk00022,RAW_SPK00022_M_P2141_L001_01_01_99_20180322_145001.wav,train,32,720,0.004672479,22.47760391,800,800,64.77845001,0,0,79.20792389
106,spk00023,RAW_SPK00023_M_P2141_L001_01_01_99_20180322_151933.wav,train,752,1408,0.004850633,17.61187363,2440,2440,66.48876953,0,0,82.15488434
135,spk00029,RAW_SPK00029_F_P2140_L001_01_01_99_20180323_001916.wav,train,0,864,0.007614553,27.2069664,580,580,47.22383499,0,0,50.43478394
454,spk00023,RAW_SPK00023_M_P2141_L001_01_01_99_20180322_151933.wav,train,752,1408,0.004850633,17.61187363,2440,2440,66.48876953,0,0,82.15488434
107,spk00024,RAW_SPK00024_M_P2105_L001_01_01_99_20180322_152424.wav,train,432,1056,0.010133402,22.8534317,1400,1400,56.94629288,0,0,81.3953476
138,spk00031,RAW_SPK00031_F_P2105_L001_01_01_99_20180323_022810.wav,train,0,672,0.011274286,27.62420654,2330,2330,51.31500626,0,0,61.47757339
455,spk00024,RAW_SPK00024_M_P2105_L001_01_01_99_20180322_152424.wav,train,432,1056,0.010133402,22.8534317,1400,1400,56.94629288,0,0,81.3953476
110,spk00024,RAW_SPK00024_M_P2140_L001_01_01_99_20180322_152514.wav,train,368,992,0.003536396,21.03985405,2850,2850,58.8865242,0,0,75.19789124
458,spk00024,RAW_SPK00024_M_P2140_L001_01_01_99_20180322_152514.wav,train,368,992,0.003536396,21.03985405,2850,2850,58.8865242,0,0,75.19789124
142,spk00031,RAW_SPK00031_F_P2141_L001_01_01_99_20180323_023013.wav,train,352,992,0.015877042,25.57510567,3260,3260,54.10100937,0,0,80.89330292
143,spk00032,RAW_SPK00032_M_P2105_L001_01_01_99_20180323_023920.wav,train,384,976,0.008646356,31.0961132,1230,1230,42.74104309,38.88999939,0,62.75510025
144,spk00032,RAW_SPK00032_M_P2119_L001_01_01_99_20180323_023937.wav,train,384,960,0.013745748,30.00998497,2950,2950,42.60114288,0,0,69.9052124
145,spk00032,RAW_SPK00032_M_P2136_L001_01_01_99_20180323_024002.wav,train,480,1056,0.028474379,28.80788994,2090,2090,44.17790985,4.83195734,0,69.66666412
146,spk00032,RAW_SPK00032_M_P2141_L001_01_01_99_20180323_024102.wav,train,608,1056,0.003877443,29.85406494,2130,2130,42.76763153,6.049418449,0,77.17391205
147,spk00033,RAW_SPK00033_M_P2105_L001_01_01_99_20180323_032359.wav,train,608,1056,0.003816215,24.75665665,2020,2020,53.56033707,0,0,65.58441925
148,spk00033,RAW_SPK00033_M_P2119_L001_01_01_99_20180323_032418.wav,train,688,1488,0.015743996,29.71375465,3660,3660,53.63658905,0,0,65.24063873
111,spk00024,RAW_SPK00024_M_P2141_L001_01_01_99_20180322_152521.wav,train,416,1008,0.876121409,13.98270702,2780,2780,63.63358307,0,0,86.60436249
150,spk00033,RAW_SPK00033_M_P2140_L001_01_01_99_20180323_032608.wav,train,864,1600,0.005360395,26.86948204,3180,3180,54.49587631,0,0,72.60273743
459,spk00024,RAW_SPK00024_M_P2141_L001_01_01_99_20180322_152521.wav,train,416,1008,0.876121409,13.98270702,2780,2780,63.63358307,0,0,86.60436249
152,spk00034,RAW_SPK00034_F_P2105_L001_01_01_99_20180323_101204.wav,train,656,1312,0.005180987,38.59786987,1760,1760,42.25370789,0,0,64
153,spk00034,RAW_SPK00034_F_P2119_L001_01_01_99_20180323_101220.wav,train,912,1584,0.004699473,39.43896103,3880,3880,40.41917801,0,0.626582265,63.92092133
154,spk00034,RAW_SPK00034_F_P2136_L001_01_01_99_20180323_101242.wav,train,960,1488,0.009140673,43.04406357,2900,2900,35.86827469,0,0,69.54436493
155,spk00034,RAW_SPK00034_F_P2140_L001_01_01_99_20180323_101333.wav,train,880,1504,0.987986496,34.66035461,3970,3970,45.4787178,0,0,77.69080353
156,spk00034,RAW_SPK00034_F_P2141_L001_01_01_99_20180323_101400.wav,train,256,1184,0.003343575,38.81991577,2810,2810,38.54551697,0,0,76.5667572
157,spk00035,RAW_SPK00035_M_P2105_L001_01_01_99_20180323_143546.wav,train,0,544,0.003678285,42.65127182,460,460,45.10456848,61.92819214,0,55.42168808
158,spk00035,RAW_SPK00035_M_P2119_L001_01_01_99_20180323_143607.wav,train,272,928,0.00520909,34.87316513,3060,3060,49.53881836,6.246018887,0,74.8166275
159,spk00035,RAW_SPK00035_M_P2136_L001_01_01_99_20180323_143620.wav,train,0,688,0.014808525,40.61195374,580,580,45.21504974,57.33050919,0,59.79381561
160,spk00035,RAW_SPK00035_M_P2140_L001_01_01_99_20180323_143652.wav,train,352,992,0.007560155,41.55841827,3180,3180,45.05605316,2.65234375,0,82.17053986
132,spk00029,RAW_SPK00029_F_P2105_L001_01_01_99_20180323_001804.wav,train,944,1648,0.018436353,18.15569115,1570,1570,51.619133,1.198899388,0,75.11961365
162,spk00036,RAW_SPK00036_M_P2105_L001_01_01_99_20180323_161816.wav,train,960,1520,0.00475254,32.28064728,1700,1700,42.10865402,19.7311039,0,64.88549805
163,spk00036,RAW_SPK00036_M_P2119_L001_01_01_99_20180323_161831.wav,train,1056,1696,0.013329589,34.25295639,3690,3690,42.85416031,0,0,66.36690521
164,spk00036,RAW_SPK00036_M_P2136_L001_01_01_99_20180323_161849.wav,train,240,1168,0.003183293,32.31378555,2750,2750,41.99090958,0.232400715,0,74.52574158
165,spk00036,RAW_SPK00036_M_P2140_L001_01_01_99_20180323_161919.wav,train,1232,1808,0.003631913,31.55607605,3110,3110,46.56731033,21.24206352,0,66.8817215
