Y,X1,X2,X3,X4,X5,X6,X7
malo,no,48,pre.bueno,personal,6758,mujer,solo
bueno,cuenta.buena,12,pre.bueno,profesional,682,mujer,solo
bueno,cuenta.mala,12,pre.bueno,profesional,3124,hombre,no.solo
malo,cuenta.mala,60,pre.bueno,profesional,7408,mujer,solo
malo,no,60,pre.bueno,profesional,7297,hombre,no.solo
bueno,cuenta.mala,12,pre.bueno,personal,1881,mujer,solo
bueno,cuenta.buena,33,pre.bueno,profesional,2764,mujer,solo
bueno,cuenta.buena,18,pre.bueno,personal,3229,hombre,no.solo
malo,cuenta.mala,30,pre.bueno,profesional,5234,mujer,no.solo
bueno,cuenta.buena,18,pre.bueno,personal,2404,mujer,solo
bueno,cuenta.mala,18,pre.bueno,personal,1295,mujer,solo
bueno,cuenta.mala,12,pre.bueno,personal,754,hombre,no.solo
bueno,cuenta.mala,6,pre.bueno,personal,484,mujer,no.solo
bueno,cuenta.buena,15,pre.bueno,profesional,3556,hombre,no.solo
malo,no,24,pre.bueno,profesional,915,mujer,solo
bueno,cuenta.buena,27,pre.bueno,personal,8613,hombre,no.solo
malo,cuenta.buena,21,pre.malo,profesional,5003,mujer,solo
malo,cuenta.buena,36,pre.bueno,personal,7127,mujer,solo
bueno,cuenta.mala,18,pre.bueno,personal,1113,mujer,solo
malo,no,42,pre.bueno,personal,7174,mujer,solo
bueno,cuenta.buena,9,pre.bueno,profesional,2134,hombre,no.solo
bueno,cuenta.mala,10,pre.bueno,profesional,781,hombre,no.solo
malo,cuenta.buena,12,pre.bueno,personal,719,hombre,no.solo
malo,cuenta.mala,24,pre.bueno,profesional,1246,hombre,no.solo
bueno,cuenta.mala,12,pre.bueno,profesional,958,hombre,no.solo
malo,no,48,pre.bueno,personal,6143,mujer,solo
bueno,cuenta.buena,48,pre.bueno,personal,8858,hombre,no.solo
malo,cuenta.mala,9,pre.bueno,personal,1501,mujer,solo
malo,no,12,pre.bueno,personal,684,hombre,no.solo
malo,cuenta.buena,24,pre.bueno,personal,3621,hombre,no.solo
bueno,cuenta.buena,60,pre.bueno,personal,5653,hombre,no.solo
bueno,no,18,pre.malo,profesional,3104,hombre,no.solo
malo,no,9,pre.bueno,personal,1366,mujer,solo
bueno,cuenta.buena,24,pre.bueno,profesional,3863,hombre,no.solo
bueno,cuenta.buena,24,pre.bueno,personal,2578,hombre,no.solo
bueno,cuenta.mala,12,pre.bueno,profesional,841,mujer,solo
bueno,cuenta.mala,21,pre.bueno,personal,3976,hombre,no.solo
bueno,no,20,pre.bueno,personal,4272,mujer,solo
bueno,no,18,pre.bueno,profesional,4380,hombre,no.solo
malo,cuenta.buena,18,pre.bueno,personal,433,mujer,solo
malo,cuenta.mala,24,pre.bueno,personal,3092,mujer,no.solo
bueno,no,15,pre.bueno,personal,975,hombre,solo
malo,no,48,pre.bueno,profesional,4308,mujer,solo
malo,no,24,pre.bueno,profesional,1285,mujer,solo
bueno,cuenta.buena,12,pre.bueno,profesional,1495,hombre,no.solo
bueno,cuenta.buena,18,pre.bueno,personal,1126,mujer,solo
bueno,cuenta.buena,36,pre.bueno,personal,2394,mujer,solo
bueno,no,6,pre.bueno,profesional,609,mujer,solo
bueno,cuenta.mala,24,pre.bueno,profesional,2825,hombre,no.solo
bueno,cuenta.mala,8,pre.bueno,personal,1414,hombre,no.solo
bueno,cuenta.buena,27,pre.bueno,profesional,5117,hombre,no.solo
malo,no,24,pre.bueno,profesional,1442,mujer,solo
bueno,cuenta.mala,24,pre.bueno,personal,6403,hombre,no.solo
bueno,cuenta.mala,24,pre.bueno,personal,1377,mujer,solo
malo,cuenta.mala,12,pre.bueno,profesional,1223,hombre,solo
bueno,no,12,pre.bueno,profesional,1344,hombre,no.solo
bueno,cuenta.mala,30,pre.bueno,profesional,2181,hombre,no.solo
bueno,no,18,pre.malo,personal,1940,hombre,no.solo
malo,no,48,pre.bueno,profesional,7763,hombre,no.solo
bueno,cuenta.buena,36,pre.bueno,profesional,909,hombre,no.solo
bueno,cuenta.mala,18,pre.bueno,profesional,2899,hombre,no.solo
bueno,cuenta.buena,24,pre.bueno,profesional,1258,hombre,no.solo
bueno,cuenta.buena,36,pre.bueno,personal,7678,mujer,solo
bueno,cuenta.buena,10,pre.bueno,personal,2146,mujer,solo
bueno,cuenta.mala,30,pre.bueno,personal,1715,mujer,solo
bueno,cuenta.mala,36,pre.malo,personal,3990,mujer,solo
bueno,cuenta.buena,21,pre.bueno,profesional,2782,mujer,solo
bueno,cuenta.mala,15,pre.bueno,personal,2360,hombre,no.solo
bueno,cuenta.mala,18,pre.bueno,profesional,1961,mujer,solo
bueno,no,12,pre.bueno,personal,1498,mujer,solo
bueno,cuenta.mala,18,pre.bueno,profesional,2622,hombre,no.solo
bueno,cuenta.buena,21,pre.bueno,personal,3160,hombre,no.solo
bueno,cuenta.buena,15,pre.bueno,personal,1532,mujer,solo
malo,cuenta.buena,36,pre.bueno,personal,1819,hombre,no.solo
bueno,cuenta.mala,36,pre.bueno,personal,3919,hombre,no.solo
bueno,cuenta.buena,24,pre.bueno,personal,1597,hombre,no.solo
malo,no,12,pre.bueno,personal,2246,hombre,no.solo
bueno,no,36,pre.bueno,personal,3959,hombre,no.solo
bueno,cuenta.buena,12,pre.bueno,personal,1963,hombre,no.solo
bueno,cuenta.buena,6,pre.bueno,profesional,362,mujer,solo
bueno,cuenta.buena,6,pre.bueno,personal,700,hombre,no.solo
malo,cuenta.mala,15,pre.bueno,personal,1512,mujer,no.solo
bueno,cuenta.mala,24,pre.bueno,personal,1553,mujer,solo
bueno,cuenta.buena,24,pre.bueno,profesional,1393,hombre,no.solo
bueno,cuenta.buena,9,pre.bueno,personal,1244,mujer,solo
bueno,no,24,pre.bueno,personal,3660,mujer,solo
bueno,cuenta.buena,6,pre.bueno,personal,2108,mujer,no.solo
bueno,cuenta.mala,24,pre.bueno,personal,3617,hombre,no.solo
malo,cuenta.buena,10,pre.bueno,personal,2210,hombre,no.solo
bueno,no,24,pre.malo,personal,3632,mujer,solo
bueno,cuenta.buena,12,pre.bueno,personal,1935,hombre,no.solo
bueno,no,18,pre.bueno,profesional,2249,hombre,no.solo
bueno,cuenta.buena,12,pre.bueno,personal,3077,hombre,no.solo
malo,no,18,pre.bueno,personal,1190,mujer,solo
malo,cuenta.mala,10,pre.bueno,profesional,1240,mujer,solo
bueno,cuenta.buena,4,pre.bueno,personal,601,mujer,solo
malo,cuenta.mala,12,pre.bueno,personal,1331,hombre,no.solo
bueno,cuenta.mala,15,pre.bueno,personal,392,mujer,solo
bueno,no,8,pre.bueno,profesional,3398,hombre,no.solo
malo,no,30,pre.bueno,personal,3108,hombre,solo
bueno,cuenta.mala,6,pre.bueno,profesional,1343,hombre,no.solo
bueno,cuenta.buena,12,pre.bueno,personal,717,hombre,no.solo
bueno,cuenta.mala,12,pre.bueno,profesional,1007,mujer,no.solo
malo,cuenta.mala,36,pre.bueno,profesional,2820,hombre,solo
malo,cuenta.mala,36,pre.bueno,personal,9398,mujer,no.solo
bueno,no,36,pre.bueno,personal,3620,hombre,no.solo
bueno,cuenta.buena,6,pre.bueno,personal,1221,mujer,no.solo
bueno,cuenta.buena,15,pre.bueno,personal,3812,mujer,solo
malo,cuenta.buena,36,pre.bueno,personal,974,mujer,solo
bueno,cuenta.buena,12,pre.bueno,personal,1768,hombre,no.solo
bueno,cuenta.buena,39,pre.bueno,personal,2569,hombre,no.solo
bueno,cuenta.buena,12,pre.bueno,personal,763,mujer,solo
malo,no,12,pre.bueno,profesional,2579,hombre,no.solo
bueno,cuenta.buena,21,pre.bueno,personal,2476,hombre,no.solo
malo,cuenta.mala,15,pre.bueno,personal,2327,mujer,solo
bueno,cuenta.mala,11,pre.bueno,profesional,1322,mujer,solo
bueno,cuenta.buena,36,pre.bueno,personal,3595,hombre,no.solo
malo,cuenta.mala,12,pre.bueno,personal,2762,mujer,solo
malo,no,18,pre.bueno,personal,2473,hombre,no.solo
bueno,no,24,pre.bueno,personal,2812,mujer,solo
malo,cuenta.mala,6,pre.malo,personal,433,mujer,solo
malo,cuenta.buena,21,pre.bueno,profesional,2680,hombre,no.solo
bueno,cuenta.buena,10,pre.bueno,personal,2069,mujer,no.solo
malo,no,24,pre.malo,profesional,1193,mujer,solo
malo,no,12,pre.bueno,profesional,900,mujer,no.solo
bueno,cuenta.buena,12,pre.bueno,profesional,1542,hombre,no.solo
bueno,cuenta.buena,21,pre.bueno,personal,3275,hombre,no.solo
bueno,cuenta.buena,18,pre.bueno,profesional,1950,hombre,no.solo
bueno,cuenta.buena,24,pre.bueno,profesional,2022,mujer,solo
malo,cuenta.mala,9,pre.bueno,personal,959,mujer,solo
bueno,cuenta.buena,24,pre.bueno,personal,2028,hombre,no.solo
malo,no,24,pre.bueno,personal,1823,hombre,no.solo
bueno,cuenta.buena,24,pre.bueno,profesional,7393,hombre,no.solo
bueno,no,12,pre.bueno,personal,385,mujer,solo
malo,cuenta.buena,36,pre.bueno,personal,4463,hombre,no.solo
malo,cuenta.mala,21,pre.bueno,profesional,2767,hombre,solo
malo,cuenta.mala,15,pre.malo,profesional,1264,mujer,no.solo
bueno,cuenta.buena,24,pre.bueno,personal,2835,hombre,no.solo
bueno,cuenta.buena,30,pre.bueno,personal,7596,hombre,no.solo
malo,cuenta.mala,6,pre.malo,profesional,931,mujer,solo
malo,no,18,pre.malo,profesional,1442,hombre,no.solo
malo,no,6,pre.malo,personal,1198,mujer,solo
bueno,cuenta.buena,24,pre.bueno,profesional,1474,mujer,no.solo
bueno,cuenta.mala,12,pre.bueno,personal,1860,hombre,no.solo
malo,no,12,pre.bueno,personal,902,mujer,no.solo
bueno,cuenta.buena,9,pre.bueno,profesional,3577,hombre,no.solo
bueno,cuenta.mala,42,pre.malo,personal,9283,hombre,no.solo
bueno,cuenta.mala,18,pre.bueno,personal,866,mujer,no.solo
bueno,cuenta.mala,9,pre.bueno,personal,1126,hombre,solo
bueno,cuenta.buena,18,pre.bueno,personal,3780,hombre,solo
malo,no,27,pre.malo,profesional,5293,hombre,no.solo
malo,no,12,pre.bueno,profesional,1228,mujer,solo
bueno,cuenta.buena,24,pre.bueno,profesional,1287,mujer,solo
malo,cuenta.mala,39,pre.bueno,personal,4933,hombre,no.solo
bueno,cuenta.buena,10,pre.bueno,personal,1924,hombre,no.solo
bueno,cuenta.buena,4,pre.bueno,personal,1544,hombre,no.solo
bueno,cuenta.mala,12,pre.bueno,personal,1424,hombre,no.solo
bueno,cuenta.buena,18,pre.bueno,personal,6070,hombre,no.solo
bueno,cuenta.buena,24,pre.bueno,personal,937,mujer,no.solo
malo,cuenta.mala,30,pre.bueno,personal,8386,hombre,no.solo
bueno,no,10,pre.bueno,personal,2132,mujer,solo
malo,no,40,pre.bueno,personal,5998,hombre,no.solo
malo,no,36,pre.bueno,personal,5179,hombre,no.solo
malo,no,24,pre.bueno,profesional,1371,mujer,solo
bueno,cuenta.buena,24,pre.bueno,personal,2424,hombre,no.solo
bueno,cuenta.mala,12,pre.bueno,personal,3617,hombre,no.solo
bueno,no,12,pre.bueno,personal,652,mujer,solo
bueno,cuenta.buena,12,pre.bueno,personal,701,hombre,no.solo
malo,cuenta.mala,18,pre.bueno,profesional,1056,hombre,no.solo
bueno,cuenta.buena,6,pre.bueno,personal,935,mujer,solo
malo,cuenta.mala,48,pre.malo,profesional,3844,hombre,no.solo
bueno,cuenta.mala,27,pre.bueno,personal,5965,hombre,no.solo
bueno,no,6,pre.bueno,personal,428,mujer,solo
bueno,cuenta.buena,30,pre.bueno,personal,1867,hombre,no.solo
bueno,cuenta.buena,24,pre.bueno,personal,2684,hombre,no.solo
malo,cuenta.mala,60,pre.malo,profesional,4782,mujer,solo
malo,no,12,pre.bueno,profesional,1372,hombre,solo
bueno,cuenta.mala,15,pre.bueno,personal,2728,hombre,no.solo
bueno,cuenta.mala,18,pre.malo,personal,1445,hombre,no.solo
bueno,cuenta.mala,24,pre.bueno,personal,5084,mujer,solo
bueno,cuenta.buena,6,pre.bueno,personal,1595,hombre,no.solo
bueno,cuenta.buena,24,pre.bueno,personal,2603,mujer,solo
malo,cuenta.mala,36,pre.malo,profesional,1953,hombre,no.solo
bueno,cuenta.buena,18,pre.bueno,personal,2238,mujer,solo
bueno,no,6,pre.bueno,profesional,1374,mujer,solo
malo,cuenta.buena,24,pre.bueno,profesional,8648,hombre,no.solo
bueno,cuenta.buena,36,pre.bueno,profesional,7409,hombre,no.solo
bueno,cuenta.buena,15,pre.bueno,profesional,5045,mujer,solo
bueno,no,30,pre.bueno,personal,6187,mujer,no.solo
bueno,cuenta.buena,36,pre.bueno,personal,2299,hombre,no.solo
bueno,cuenta.buena,60,pre.bueno,personal,144,mujer,solo
bueno,no,10,pre.bueno,profesional,2241,hombre,no.solo
malo,cuenta.mala,12,pre.bueno,profesional,888,hombre,no.solo
bueno,cuenta.buena,12,pre.bueno,profesional,1264,hombre,no.solo
bueno,cuenta.mala,12,pre.bueno,personal,1567,mujer,solo
malo,no,24,pre.bueno,personal,3234,mujer,solo
bueno,cuenta.mala,18,pre.bueno,profesional,5866,hombre,no.solo
bueno,cuenta.mala,9,pre.bueno,personal,790,mujer,solo
malo,no,12,pre.bueno,personal,7865,hombre,no.solo
bueno,no,21,pre.bueno,profesional,3763,hombre,no.solo
bueno,cuenta.buena,24,pre.bueno,personal,1278,hombre,no.solo
bueno,no,18,pre.bueno,personal,1049,mujer,solo
bueno,cuenta.buena,11,pre.bueno,personal,1154,mujer,solo
bueno,cuenta.buena,12,pre.bueno,personal,1503,mujer,no.solo
bueno,cuenta.buena,10,pre.bueno,personal,2848,hombre,no.solo
bueno,cuenta.mala,36,pre.bueno,profesional,7432,mujer,solo
bueno,cuenta.buena,36,pre.bueno,personal,477,hombre,no.solo
bueno,cuenta.mala,12,pre.bueno,profesional,1318,hombre,no.solo
bueno,cuenta.buena,24,pre.bueno,personal,7814,hombre,no.solo
bueno,no,24,pre.bueno,personal,2910,hombre,no.solo
bueno,cuenta.mala,6,pre.bueno,personal,932,mujer,solo
bueno,cuenta.buena,12,pre.bueno,personal,2445,mujer,no.solo
bueno,cuenta.buena,18,pre.bueno,personal,1149,hombre,no.solo
malo,cuenta.mala,30,pre.malo,profesional,4280,mujer,solo
bueno,no,12,pre.bueno,personal,1620,mujer,solo
bueno,cuenta.mala,24,pre.bueno,personal,2760,hombre,no.solo
malo,no,33,pre.bueno,personal,4281,mujer,solo
malo,no,48,pre.bueno,profesional,3931,hombre,no.solo
bueno,cuenta.buena,6,pre.bueno,personal,1237,mujer,solo
malo,cuenta.mala,18,pre.bueno,personal,2976,mujer,solo
malo,cuenta.buena,24,pre.bueno,personal,5943,mujer,solo
bueno,cuenta.buena,12,pre.bueno,personal,2073,mujer,solo
malo,no,36,pre.bueno,personal,2712,hombre,no.solo
bueno,cuenta.mala,48,pre.bueno,profesional,7582,hombre,no.solo
bueno,no,14,pre.bueno,profesional,3973,hombre,no.solo
malo,no,12,pre.bueno,personal,727,mujer,no.solo
bueno,cuenta.buena,15,pre.bueno,personal,1829,hombre,no.solo
bueno,cuenta.buena,24,pre.bueno,personal,2197,hombre,no.solo
malo,cuenta.buena,10,pre.bueno,profesional,1309,hombre,no.solo
bueno,cuenta.mala,12,pre.malo,personal,1410,hombre,no.solo
bueno,cuenta.buena,9,pre.bueno,personal,2301,mujer,solo
bueno,cuenta.buena,21,pre.bueno,personal,2288,mujer,solo
bueno,cuenta.buena,36,pre.bueno,personal,3835,mujer,solo
malo,cuenta.buena,36,pre.bueno,profesional,7980,hombre,no.solo
bueno,no,15,pre.bueno,profesional,1721,hombre,no.solo
bueno,no,10,pre.bueno,personal,2315,hombre,no.solo
malo,no,18,pre.malo,personal,3114,mujer,solo
malo,no,18,pre.bueno,personal,1131,mujer,solo
malo,no,24,pre.malo,personal,3552,hombre,no.solo
bueno,no,21,pre.bueno,personal,3599,mujer,solo
malo,cuenta.mala,48,pre.bueno,personal,6224,hombre,no.solo
malo,no,42,pre.bueno,personal,4370,hombre,no.solo
bueno,cuenta.buena,12,pre.bueno,personal,1934,hombre,no.solo
bueno,no,24,pre.bueno,personal,6615,hombre,no.solo
malo,cuenta.mala,12,pre.malo,profesional,609,mujer,solo
bueno,cuenta.buena,5,pre.bueno,profesional,3448,hombre,no.solo
bueno,cuenta.buena,18,pre.bueno,profesional,2662,hombre,no.solo
malo,no,24,pre.bueno,personal,1659,mujer,solo
bueno,cuenta.buena,42,pre.bueno,personal,4041,hombre,no.solo
bueno,cuenta.buena,6,pre.bueno,profesional,3518,hombre,no.solo
bueno,cuenta.buena,12,pre.bueno,personal,5801,hombre,no.solo
malo,no,24,pre.malo,personal,6872,hombre,solo
malo,cuenta.mala,36,pre.bueno,personal,4210,hombre,no.solo
bueno,cuenta.mala,48,pre.malo,profesional,8358,mujer,solo
bueno,no,24,pre.malo,personal,2828,hombre,no.solo
bueno,cuenta.mala,9,pre.bueno,profesional,1549,hombre,no.solo
bueno,cuenta.buena,15,pre.bueno,personal,1459,mujer,solo
malo,cuenta.mala,12,pre.bueno,personal,6468,hombre,no.solo
bueno,cuenta.mala,24,pre.bueno,profesional,1275,hombre,solo
malo,cuenta.mala,24,pre.bueno,personal,2064,mujer,solo
bueno,cuenta.mala,18,pre.bueno,personal,3049,mujer,solo
malo,no,12,pre.malo,personal,6199,hombre,no.solo
bueno,cuenta.buena,18,pre.bueno,personal,2515,hombre,no.solo
bueno,cuenta.mala,18,pre.bueno,profesional,4439,hombre,no.solo
bueno,cuenta.buena,30,pre.bueno,personal,2333,hombre,no.solo
bueno,cuenta.buena,22,pre.bueno,profesional,1283,mujer,solo
malo,cuenta.mala,12,pre.bueno,personal,639,hombre,no.solo
bueno,cuenta.buena,12,pre.bueno,personal,2279,hombre,no.solo
malo,cuenta.mala,9,pre.bueno,personal,1136,hombre,no.solo
malo,no,36,pre.bueno,personal,3446,hombre,no.solo
malo,no,30,pre.bueno,personal,6350,hombre,no.solo
bueno,cuenta.buena,24,pre.bueno,personal,1585,hombre,no.solo
malo,cuenta.mala,24,pre.bueno,profesional,2718,mujer,solo
bueno,cuenta.mala,10,pre.bueno,profesional,3949,hombre,no.solo
bueno,cuenta.buena,4,pre.bueno,profesional,1455,hombre,no.solo
bueno,cuenta.mala,27,pre.bueno,profesional,2528,mujer,solo
