^ORIGIN_CITY_NAME^DEST_CITY_NAME
14^Guangzhou, China^Saipan, TT
138^Amsterdam, Netherlands^San Francisco, CA
139^Atlanta, GA^Amsterdam, Netherlands
141^Atlanta, GA^Amsterdam, Netherlands
144^Washington, DC^Amsterdam, Netherlands
145^Houston, TX^Amsterdam, Netherlands
146^New York, NY^Amsterdam, Netherlands
148^New York, NY^Amsterdam, Netherlands
149^New York, NY^Amsterdam, Netherlands
150^Los Angeles, CA^Amsterdam, Netherlands
151^Chicago, IL^Amsterdam, Netherlands
152^San Francisco, CA^Amsterdam, Netherlands
153^San Francisco, CA^Amsterdam, Netherlands
154^New York, NY^Kuwait, Kuwait
155^New York, NY^London, United Kingdom
156^Kuwait, Kuwait^New York, NY
157^London, United Kingdom^New York, NY
158^Guam, TT^Seoul, South Korea
159^Seoul, South Korea^Guam, TT
177^Cairo, Egypt^New York, NY
178^New York, NY^Cairo, Egypt
179^Auckland, New Zealand^Honolulu, HI
180^Auckland, New Zealand^Los Angeles, CA
181^Auckland, New Zealand^Los Angeles, CA
182^Auckland, New Zealand^San Francisco, CA
183^Auckland, New Zealand^San Francisco, CA
184^Honolulu, HI^Auckland, New Zealand
185^Los Angeles, CA^Auckland, New Zealand
186^Los Angeles, CA^Auckland, New Zealand
187^Los Angeles, CA^London, United Kingdom
189^London, United Kingdom^Los Angeles, CA
191^San Francisco, CA^Auckland, New Zealand
192^San Francisco, CA^Auckland, New Zealand
197^New York, NY^Kiev, Ukraine
212^New York, NY^Moscow, Russia
213^Los Angeles, CA^Moscow, Russia
214^Los Angeles, CA^Moscow, Russia
215^Miami, FL^Moscow, Russia
218^Moscow, Russia^New York, NY
219^Moscow, Russia^Los Angeles, CA
220^Moscow, Russia^Los Angeles, CA
221^Moscow, Russia^Miami, FL
222^Paris, France^Los Angeles, CA
223^Los Angeles, CA^Paris, France
224^Los Angeles, CA^Papeete, French Polynesia
225^Papeete, French Polynesia^Los Angeles, CA
226^Paris, France^New York, NY
227^Fort Lauderdale, FL^Quebec, Canada
228^Fort Lauderdale, FL^Montreal, Canada
229^Fort Lauderdale, FL^Toronto, Canada
230^New York, NY^Paris, France
232^Orlando, FL^Montreal, Canada
234^Orlando, FL^Toronto, Canada
235^Quebec, Canada^Fort Lauderdale, FL
237^Montreal, Canada^Fort Lauderdale, FL
238^Montreal, Canada^Orlando, FL
240^Toronto, Canada^Fort Lauderdale, FL
241^Toronto, Canada^Orlando, FL
242^Cancun, Mexico^Houston, TX
243^Guadalajara, Mexico^Houston, TX
245^Houston, TX^Guadalajara, Mexico
246^Houston, TX^Monterrey, Mexico
248^Monterrey, Mexico^Houston, TX
249^Monterrey, Mexico^Las Vegas, NV
257^New York, NY^Lagos, Nigeria
258^Lagos, Nigeria^New York, NY
261^Fort Lauderdale, FL^Quebec, Canada
262^Fort Lauderdale, FL^Montreal, Canada
263^Fort Lauderdale, FL^Toronto, Canada
264^Las Vegas, NV^Toronto, Canada
267^Orlando, FL^Toronto, Canada
277^Quebec, Canada^Fort Lauderdale, FL
278^Montreal, Canada^Fort Lauderdale, FL
280^Toronto, Canada^Fort Lauderdale, FL
281^Toronto, Canada^Las Vegas, NV
282^Toronto, Canada^Orlando, FL
283^Toronto, Canada^St. Petersburg, FL
301^Saipan, TT^Tinian, TT
309^Tinian, TT^Saipan, TT
532^Havana, Cuba^Miami, FL
534^Holguin, Cuba^Miami, FL
537^Miami, FL^Havana, Cuba
539^Miami, FL^Santa Clara, Cuba
540^Santa Clara, Cuba^Miami, FL
551^Anchorage, AK^King Salmon, AK
558^Anchorage, AK^Dillingham, AK
560^Anchorage, AK^Unalaska, AK
581^Dillingham, AK^Anchorage, AK
586^Unalaska, AK^Anchorage, AK
689^Bogota, Colombia^Miami, FL
690^Miami, FL^Bogota, Colombia
691^Ezeiza, Argentina^Miami, FL
692^Miami, FL^Ezeiza, Argentina
695^New York, NY^Madrid, Spain
696^New York, NY^Madrid, Spain
698^Madrid, Spain^New York, NY
699^Madrid, Spain^New York, NY
701^Madrid, Spain^Miami, FL
704^Madrid, Spain^Chicago, IL
707^Miami, FL^Madrid, Spain
710^Chicago, IL^Madrid, Spain
722^Anchorage, AK^Taipei, Taiwan
727^Honolulu, HI^Tokyo, Japan
728^Honolulu, HI^Tokyo, Japan
729^Honolulu, HI^Taipei, Taiwan
731^New York, NY^Anchorage, AK
737^Los Angeles, CA^Taipei, Taiwan
738^Los Angeles, CA^Taipei, Taiwan
744^Tokyo, Japan^Honolulu, HI
748^San Francisco, CA^Taipei, Taiwan
752^Taipei, Taiwan^Honolulu, HI
753^Taipei, Taiwan^New York, NY
754^Taipei, Taiwan^Los Angeles, CA
755^Taipei, Taiwan^Los Angeles, CA
757^Taipei, Taiwan^San Francisco, CA
775^Honolulu, HI^Shanghai, China
776^New York, NY^Shanghai, China
777^Los Angeles, CA^Shanghai, China
778^Los Angeles, CA^Shanghai, China
779^Beijing, China^Saipan, TT
780^Shanghai, China^Honolulu, HI
781^Shanghai, China^New York, NY
782^Shanghai, China^Los Angeles, CA
783^Shanghai, China^Los Angeles, CA
784^Shanghai, China^San Francisco, CA
785^San Francisco, CA^Shanghai, China
786^Saipan, TT^Beijing, China
791^Stockholm, Sweden^Newark, NJ
793^Stockholm, Sweden^Chicago, IL
795^Copenhagen, Denmark^Newark, NJ
796^Copenhagen, Denmark^Newark, NJ
797^Copenhagen, Denmark^Washington, DC
799^Copenhagen, Denmark^Chicago, IL
800^Copenhagen, Denmark^San Francisco, CA
801^Newark, NJ^Stockholm, Sweden
803^Newark, NJ^Copenhagen, Denmark
804^Newark, NJ^Copenhagen, Denmark
805^Newark, NJ^Oslo, Norway
806^Newark, NJ^Oslo, Norway
807^Washington, DC^Copenhagen, Denmark
809^Chicago, IL^Stockholm, Sweden
812^Chicago, IL^Copenhagen, Denmark
813^Oslo, Norway^Newark, NJ
814^Oslo, Norway^Newark, NJ
815^San Francisco, CA^Copenhagen, Denmark
817^Washington, DC^Jeddah, Saudi Arabia
818^Washington, DC^Riyadh, Saudi Arabia
819^Jeddah, Saudi Arabia^Washington, DC
820^Jeddah, Saudi Arabia^New York, NY
821^Jeddah, Saudi Arabia^Los Angeles, CA
822^New York, NY^Jeddah, Saudi Arabia
823^New York, NY^Riyadh, Saudi Arabia
824^Los Angeles, CA^Jeddah, Saudi Arabia
825^Riyadh, Saudi Arabia^Washington, DC
826^Riyadh, Saudi Arabia^New York, NY
827^Guayaquil, Ecuador^New York, NY
828^New York, NY^Guayaquil, Ecuador
829^Miami, FL^Quito, Ecuador
831^Quito, Ecuador^Miami, FL
833^Boston, MA^Zurich, Switzerland
834^Boston, MA^Zurich, Switzerland
835^Newark, NJ^Zurich, Switzerland
837^Geneva, Switzerland^New York, NY
838^New York, NY^Geneva, Switzerland
839^New York, NY^Zurich, Switzerland
840^Los Angeles, CA^Zurich, Switzerland
841^Miami, FL^Zurich, Switzerland
843^Chicago, IL^Zurich, Switzerland
844^San Francisco, CA^Zurich, Switzerland
845^Zurich, Switzerland^Boston, MA
846^Zurich, Switzerland^Boston, MA
847^Zurich, Switzerland^Newark, NJ
849^Zurich, Switzerland^New York, NY
850^Zurich, Switzerland^Los Angeles, CA
851^Zurich, Switzerland^Miami, FL
853^Zurich, Switzerland^Chicago, IL
854^Zurich, Switzerland^San Francisco, CA
855^Boston, MA^Rome, Italy
856^Rome, Italy^Boston, MA
857^Rome, Italy^New York, NY
858^Rome, Italy^Miami, FL
860^New York, NY^Rome, Italy
861^New York, NY^Milan, Italy
862^Miami, FL^Rome, Italy
864^Milan, Italy^New York, NY
865^Fort Lauderdale, FL^Kingston, Jamaica
866^Fort Lauderdale, FL^Montego Bay, Jamaica
867^Fort Lauderdale, FL^Port of Spain, Trinidad and Tobago
868^Georgetown, Guyana^New York, NY
869^Georgetown, Guyana^New York, NY
871^New York, NY^Georgetown, Guyana
872^New York, NY^Georgetown, Guyana
873^New York, NY^Grenada, Grenada
874^New York, NY^Kingston, Jamaica
875^New York, NY^Montego Bay, Jamaica
876^New York, NY^Port of Spain, Trinidad and Tobago
877^New York, NY^Port of Spain, Trinidad and Tobago
879^Kingston, Jamaica^Fort Lauderdale, FL
880^Kingston, Jamaica^New York, NY
882^Montego Bay, Jamaica^Fort Lauderdale, FL
883^Montego Bay, Jamaica^New York, NY
885^Orlando, FL^Port of Spain, Trinidad and Tobago
886^Miami, FL^Port of Spain, Trinidad and Tobago
887^Port of Spain, Trinidad and Tobago^Fort Lauderdale, FL
888^Port of Spain, Trinidad and Tobago^New York, NY
889^Port of Spain, Trinidad and Tobago^New York, NY
890^Port of Spain, Trinidad and Tobago^Orlando, FL
891^Port of Spain, Trinidad and Tobago^Miami, FL
893^Boston, MA^Ponta Delgada, Portugal
894^Ponta Delgada, Portugal^Boston, MA
1127^Kodiak, AK^Anchorage, AK
1135^Anchorage, AK^Kodiak, AK
1145^Anchorage, AK^Kenai, AK
1146^Anchorage, AK^Kenai, AK
1148^Anchorage, AK^Fairbanks, AK
1152^Anchorage, AK^Homer, AK
1184^Kenai, AK^Anchorage, AK
1185^Kenai, AK^Anchorage, AK
1190^Fairbanks, AK^Anchorage, AK
1207^Homer, AK^Anchorage, AK
1227^Deadhorse, AK^Deadhorse, AK
2659^Key West, FL^Fort Jefferson, FL
2664^Fort Jefferson, FL^Key West, FL
2680^Dallas/Fort Worth, TX^San Salvador, El Salvador
2681^Newark, NJ^San Salvador, El Salvador
2682^Newark, NJ^San Salvador, El Salvador
2683^Guatemala City, Guatemala^Miami, FL
2684^Washington, DC^San Salvador, El Salvador
2685^Washington, DC^San Salvador, El Salvador
2686^Washington, DC^San Salvador, El Salvador
2687^Houston, TX^San Salvador, El Salvador
2688^New York, NY^San Salvador, El Salvador
2689^New York, NY^San Salvador, El Salvador
2692^Los Angeles, CA^San Salvador, El Salvador
2693^Los Angeles, CA^San Salvador, El Salvador
2695^Managua, Nicaragua^Miami, FL
2697^Miami, FL^Guatemala City, Guatemala
2699^Miami, FL^Managua, Nicaragua
2702^Miami, FL^San Salvador, El Salvador
2703^Miami, FL^San Salvador, El Salvador
2705^Miami, FL^San Pedro Sula, Honduras
2708^Chicago, IL^San Salvador, El Salvador
2710^San Salvador, El Salvador^Dallas/Fort Worth, TX
2711^San Salvador, El Salvador^Newark, NJ
2712^San Salvador, El Salvador^Newark, NJ
2713^San Salvador, El Salvador^Washington, DC
2714^San Salvador, El Salvador^Washington, DC
2715^San Salvador, El Salvador^Washington, DC
2716^San Salvador, El Salvador^Houston, TX
2717^San Salvador, El Salvador^New York, NY
2718^San Salvador, El Salvador^New York, NY
2719^San Salvador, El Salvador^Los Angeles, CA
2720^San Salvador, El Salvador^Los Angeles, CA
2722^San Salvador, El Salvador^Miami, FL
2723^San Salvador, El Salvador^Miami, FL
2726^San Salvador, El Salvador^Chicago, IL
2728^San Salvador, El Salvador^San Francisco, CA
2732^San Pedro Sula, Honduras^Miami, FL
2734^San Francisco, CA^San Salvador, El Salvador
2736^Lima, Peru^Miami, FL
2737^Miami, FL^Lima, Peru
2865^Anchorage, AK^Bethel, AK
2875^Anchorage, AK^Juneau, AK
2879^Anchorage, AK^Nome, AK
2881^Anchorage, AK^Kotzebue, AK
2885^Anchorage, AK^Deadhorse, AK
2886^Anchorage, AK^Seattle, WA
2889^Bethel, AK^Anchorage, AK
2895^Barrow, AK^Anchorage, AK
2921^Juneau, AK^Petersburg, AK
2951^Nome, AK^Anchorage, AK
2972^Deadhorse, AK^Barrow, AK
2974^Seattle, WA^Anchorage, AK
2984^Seattle, WA^Juneau, AK
2996^Seattle, WA^Tampa, FL
3014^Tampa, FL^Seattle, WA
3113^Minneapolis, MN^Vancouver, Canada
3134^Vancouver, Canada^Minneapolis, MN
3139^Allentown/Bethlehem/Easton, PA^Atlanta, GA
3140^Albuquerque, NM^Atlanta, GA
3143^Augusta, GA^Atlanta, GA
3146^Albany, NY^Atlanta, GA
3150^Atlanta, GA^Allentown/Bethlehem/Easton, PA
3151^Atlanta, GA^Albuquerque, NM
3152^Atlanta, GA^Augusta, GA
3155^Atlanta, GA^Albany, NY
3156^Atlanta, GA^Appleton, WI
3158^Atlanta, GA^Austin, TX
3159^Atlanta, GA^Asheville, NC
3160^Atlanta, GA^Asheville, NC
3162^Atlanta, GA^Hartford, CT
3163^Atlanta, GA^Birmingham, AL
3165^Atlanta, GA^Birmingham, AL
3167^Atlanta, GA^Nashville, TN
3168^Atlanta, GA^Nashville, TN
3170^Atlanta, GA^Boston, MA
3171^Atlanta, GA^Boston, MA
3174^Atlanta, GA^Baton Rouge, LA
3177^Atlanta, GA^Buffalo, NY
3180^Atlanta, GA^Baltimore, MD
3182^Atlanta, GA^Columbia, SC
3183^Atlanta, GA^Columbia, SC
3185^Atlanta, GA^Akron, OH
3186^Atlanta, GA^Chattanooga, TN
3188^Atlanta, GA^Charlottesville, VA
3192^Atlanta, GA^Charleston, SC
3193^Atlanta, GA^Cleveland, OH
3194^Atlanta, GA^Cleveland, OH
3196^Atlanta, GA^Charlotte, NC
3197^Atlanta, GA^Charlotte, NC
3199^Atlanta, GA^Columbus, OH
3202^Atlanta, GA^Cincinnati, OH
3205^Atlanta, GA^Daytona Beach, FL
3206^Atlanta, GA^Dallas, TX
3208^Atlanta, GA^Dayton, OH
3209^Atlanta, GA^Washington, DC
3210^Atlanta, GA^Washington, DC
3211^Atlanta, GA^Washington, DC
3212^Atlanta, GA^Denver, CO
3213^Atlanta, GA^Dallas/Fort Worth, TX
3215^Atlanta, GA^Des Moines, IA
3216^Atlanta, GA^Des Moines, IA
3219^Atlanta, GA^Detroit, MI
3220^Atlanta, GA^Detroit, MI
3221^Atlanta, GA^Panama City, FL
3222^Atlanta, GA^Panama City, FL
3223^Atlanta, GA^El Paso, TX
3225^Atlanta, GA^Evansville, IN
3226^Atlanta, GA^Newark, NJ
3227^Atlanta, GA^Newark, NJ
3231^Atlanta, GA^Fayetteville, NC
3232^Atlanta, GA^Fort Lauderdale, FL
3235^Atlanta, GA^Flint, MI
3240^Atlanta, GA^Gulfport/Biloxi, MS
3241^Atlanta, GA^Gulfport/Biloxi, MS
3242^Atlanta, GA^Grand Rapids, MI
3245^Atlanta, GA^Greensboro/High Point, NC
3246^Atlanta, GA^Greer, SC
3247^Atlanta, GA^Greer, SC
3249^Atlanta, GA^Houston, TX
3250^Atlanta, GA^Houston, TX
3251^Atlanta, GA^Huntsville, AL
3252^Atlanta, GA^Huntsville, AL
3253^Atlanta, GA^Washington, DC
3255^Atlanta, GA^Washington, DC
3258^Atlanta, GA^Houston, TX
3259^Atlanta, GA^Houston, TX
3260^Atlanta, GA^Wichita, KS
3261^Atlanta, GA^Wichita, KS
3262^Atlanta, GA^Wilmington, NC
3264^Atlanta, GA^Indianapolis, IN
3265^Atlanta, GA^Indianapolis, IN
3267^Atlanta, GA^Jackson/Vicksburg, MS
3268^Atlanta, GA^Jackson/Vicksburg, MS
3269^Atlanta, GA^Jacksonville, FL
3270^Atlanta, GA^Jacksonville, FL
3273^Atlanta, GA^New York, NY
3274^Atlanta, GA^Las Vegas, NV
3275^Atlanta, GA^Los Angeles, CA
3277^Atlanta, GA^Los Angeles, CA
3278^Atlanta, GA^Lexington, KY
3280^Atlanta, GA^Lafayette, LA
3282^Atlanta, GA^New York, NY
3283^Atlanta, GA^New York, NY
3284^Atlanta, GA^Little Rock, AR
3285^Atlanta, GA^Little Rock, AR
3287^Atlanta, GA^Kansas City, MO
3290^Atlanta, GA^Orlando, FL
3291^Atlanta, GA^Orlando, FL
3292^Atlanta, GA^Harrisburg, PA
3293^Atlanta, GA^Chicago, IL
3294^Atlanta, GA^Memphis, TN
3295^Atlanta, GA^Memphis, TN
3300^Atlanta, GA^Manchester, NH
3302^Atlanta, GA^Miami, FL
3303^Atlanta, GA^Miami, FL
3309^Atlanta, GA^Milwaukee, WI
3313^Atlanta, GA^Melbourne, FL
3315^Atlanta, GA^Mobile, AL
3321^Atlanta, GA^Minneapolis, MN
3322^Atlanta, GA^New Orleans, LA
3323^Atlanta, GA^New Orleans, LA
3330^Atlanta, GA^Oklahoma City, OK
3331^Atlanta, GA^Oklahoma City, OK
3335^Atlanta, GA^Omaha, NE
3337^Atlanta, GA^Chicago, IL
3339^Atlanta, GA^Chicago, IL
3341^Atlanta, GA^Norfolk, VA
3343^Atlanta, GA^West Palm Beach/Palm Beach, FL
3344^Atlanta, GA^Portland, OR
3346^Atlanta, GA^Philadelphia, PA
3349^Atlanta, GA^Phoenix, AZ
3351^Atlanta, GA^Pittsburgh, PA
3352^Atlanta, GA^Pittsburgh, PA
3353^Atlanta, GA^Pensacola, FL
3355^Atlanta, GA^Pensacola, FL
3359^Atlanta, GA^Providence, RI
3360^Atlanta, GA^Portland, ME
3361^Atlanta, GA^Raleigh/Durham, NC
3362^Atlanta, GA^Raleigh/Durham, NC
3364^Atlanta, GA^Richmond, VA
3366^Atlanta, GA^Fort Myers, FL
3367^Atlanta, GA^Fort Myers, FL
3368^Atlanta, GA^San Diego, CA
3369^Atlanta, GA^San Antonio, TX
3371^Atlanta, GA^Savannah, GA
3373^Atlanta, GA^Savannah, GA
3375^Atlanta, GA^Louisville, KY
3377^Atlanta, GA^Seattle, WA
3383^Atlanta, GA^San Francisco, CA
3384^Atlanta, GA^Springfield, MO
3385^Atlanta, GA^Shreveport, LA
3388^Atlanta, GA^Salt Lake City, UT
3391^Atlanta, GA^Sacramento, CA
3393^Atlanta, GA^Sarasota/Bradenton, FL
3394^Atlanta, GA^St. Louis, MO
3395^Atlanta, GA^St. Louis, MO
3398^Atlanta, GA^Syracuse, NY
3399^Atlanta, GA^Syracuse, NY
3400^Atlanta, GA^Tallahassee, FL
3401^Atlanta, GA^Tallahassee, FL
3403^Atlanta, GA^Tampa, FL
3404^Atlanta, GA^Tampa, FL
3405^Atlanta, GA^Bristol/Johnson City/Kingsport, TN
3406^Atlanta, GA^Tulsa, OK
3407^Atlanta, GA^Tulsa, OK
3408^Atlanta, GA^Knoxville, TN
3409^Atlanta, GA^Knoxville, TN
3410^Atlanta, GA^Valparaiso, FL
3413^Atlanta, GA^Fayetteville, AR
3414^Atlanta, GA^Montreal, Canada
3415^Appleton, WI^Atlanta, GA
3419^Austin, TX^Atlanta, GA
3422^Asheville, NC^Atlanta, GA
3423^Asheville, NC^Atlanta, GA
3426^Hartford, CT^Atlanta, GA
3427^Hartford, CT^Detroit, MI
3428^Hartford, CT^Detroit, MI
3432^Birmingham, AL^Atlanta, GA
3434^Birmingham, AL^Atlanta, GA
3437^Nashville, TN^Atlanta, GA
3438^Nashville, TN^Atlanta, GA
3442^Nashville, TN^Detroit, MI
3450^Boston, MA^Atlanta, GA
3451^Boston, MA^Atlanta, GA
3459^Boston, MA^Detroit, MI
3463^Boston, MA^New York, NY
3465^Boston, MA^New York, NY
3469^Boston, MA^Orlando, FL
3480^Baton Rouge, LA^Atlanta, GA
3482^Buffalo, NY^Atlanta, GA
3491^Baltimore, MD^Atlanta, GA
3493^Baltimore, MD^Atlanta, GA
3494^Baltimore, MD^Detroit, MI
3503^Columbia, SC^Atlanta, GA
3504^Columbia, SC^Atlanta, GA
3506^Akron, OH^Atlanta, GA
3508^Chattanooga, TN^Atlanta, GA
3510^Charlottesville, VA^Atlanta, GA
3514^Charleston, SC^Atlanta, GA
3515^Cleveland, OH^Atlanta, GA
3516^Cleveland, OH^Atlanta, GA
3535^Charlotte, NC^Atlanta, GA
3536^Charlotte, NC^Atlanta, GA
3540^Charlotte, NC^Detroit, MI
3547^Charlotte, NC^Minneapolis, MN
3559^Columbus, OH^Atlanta, GA
3571^Cincinnati, OH^Atlanta, GA
3572^Cincinnati, OH^Boston, MA
3574^Cincinnati, OH^Fort Lauderdale, FL
3575^Cincinnati, OH^Orlando, FL
3578^Cincinnati, OH^Fort Myers, FL
3581^Daytona Beach, FL^Atlanta, GA
3583^Dallas, TX^Atlanta, GA
3595^Dayton, OH^Atlanta, GA
3598^Washington, DC^Atlanta, GA
3599^Washington, DC^Atlanta, GA
3600^Washington, DC^Atlanta, GA
3605^Washington, DC^Minneapolis, MN
3606^Denver, CO^Atlanta, GA
3632^Dallas/Fort Worth, TX^Atlanta, GA
3639^Dallas/Fort Worth, TX^Minneapolis, MN
3641^Des Moines, IA^Atlanta, GA
3642^Des Moines, IA^Atlanta, GA
3647^Detroit, MI^Atlanta, GA
3649^Detroit, MI^Hartford, CT
3650^Detroit, MI^Hartford, CT
3651^Detroit, MI^Nashville, TN
3655^Detroit, MI^Boston, MA
3659^Detroit, MI^Baltimore, MD
3663^Detroit, MI^Charlotte, NC
3670^Detroit, MI^Newark, NJ
3673^Detroit, MI^Fort Lauderdale, FL
3675^Detroit, MI^Grand Rapids, MI
3678^Detroit, MI^Indianapolis, IN
3681^Detroit, MI^Indianapolis, IN
3682^Detroit, MI^New York, NY
3686^Detroit, MI^Las Vegas, NV
3688^Detroit, MI^Los Angeles, CA
3691^Detroit, MI^New York, NY
3693^Detroit, MI^New York, NY
3696^Detroit, MI^Orlando, FL
3702^Detroit, MI^Milwaukee, WI
3706^Detroit, MI^Minneapolis, MN
3707^Detroit, MI^Minneapolis, MN
3713^Detroit, MI^Chicago, IL
3715^Detroit, MI^Chicago, IL
3720^Detroit, MI^Phoenix, AZ
3722^Detroit, MI^Providence, RI
3727^Detroit, MI^Fort Myers, FL
3728^Detroit, MI^Fort Myers, FL
3729^Detroit, MI^San Diego, CA
3730^Detroit, MI^Seattle, WA
3731^Detroit, MI^San Francisco, CA
3737^Detroit, MI^Tampa, FL
3738^Detroit, MI^Tampa, FL
3741^Panama City, FL^Atlanta, GA
3742^Panama City, FL^Atlanta, GA
3743^El Paso, TX^Atlanta, GA
3745^Evansville, IN^Atlanta, GA
3746^Newark, NJ^Atlanta, GA
3747^Newark, NJ^Atlanta, GA
3753^Newark, NJ^Detroit, MI
3782^Fayetteville, NC^Atlanta, GA
3785^Fort Lauderdale, FL^Atlanta, GA
3786^Fort Lauderdale, FL^Atlanta, GA
3787^Fort Lauderdale, FL^Cincinnati, OH
3788^Fort Lauderdale, FL^Detroit, MI
3790^Fort Lauderdale, FL^New York, NY
3791^Fort Lauderdale, FL^New York, NY
3792^Fort Lauderdale, FL^New York, NY
3795^Flint, MI^Atlanta, GA
3796^Flint, MI^Atlanta, GA
3808^Gulfport/Biloxi, MS^Atlanta, GA
3809^Gulfport/Biloxi, MS^Atlanta, GA
3812^Grand Rapids, MI^Atlanta, GA
3814^Grand Rapids, MI^Detroit, MI
3820^Greensboro/High Point, NC^Atlanta, GA
3821^Greer, SC^Atlanta, GA
3822^Greer, SC^Atlanta, GA
3826^Houston, TX^Atlanta, GA
3827^Houston, TX^Atlanta, GA
3844^Huntsville, AL^Atlanta, GA
3845^Huntsville, AL^Atlanta, GA
3846^Washington, DC^Atlanta, GA
3848^Washington, DC^Atlanta, GA
3874^Houston, TX^Atlanta, GA
3875^Houston, TX^Atlanta, GA
3877^Wichita, KS^Atlanta, GA
3878^Wichita, KS^Atlanta, GA
3880^Wilmington, NC^Atlanta, GA
3882^Indianapolis, IN^Atlanta, GA
3883^Indianapolis, IN^Atlanta, GA
3887^Indianapolis, IN^Detroit, MI
3890^Indianapolis, IN^Detroit, MI
3907^Jackson/Vicksburg, MS^Atlanta, GA
3908^Jackson/Vicksburg, MS^Atlanta, GA
3911^Jacksonville, FL^Atlanta, GA
3912^Jacksonville, FL^Atlanta, GA
3917^New York, NY^Boston, MA
3920^New York, NY^Detroit, MI
3927^New York, NY^Fort Lauderdale, FL
3934^New York, NY^Orlando, FL
3936^New York, NY^Miami, FL
3937^New York, NY^Minneapolis, MN
3942^New York, NY^West Palm Beach/Palm Beach, FL
3943^New York, NY^Fort Myers, FL
3946^New York, NY^Tampa, FL
3950^Las Vegas, NV^Atlanta, GA
3951^Las Vegas, NV^Detroit, MI
3957^Las Vegas, NV^Minneapolis, MN
3960^Los Angeles, CA^Atlanta, GA
3970^Los Angeles, CA^Detroit, MI
3978^Los Angeles, CA^Orlando, FL
3980^Los Angeles, CA^Minneapolis, MN
3990^Los Angeles, CA^Phoenix, AZ
4003^Los Angeles, CA^Tampa, FL
4008^Lexington, KY^Atlanta, GA
4011^Lafayette, LA^Atlanta, GA
4013^New York, NY^Atlanta, GA
4014^New York, NY^Atlanta, GA
4015^New York, NY^Boston, MA
4019^New York, NY^Detroit, MI
4020^New York, NY^Detroit, MI
4021^New York, NY^Fort Lauderdale, FL
4022^New York, NY^Fort Lauderdale, FL
4024^New York, NY^Orlando, FL
4025^New York, NY^Miami, FL
4026^New York, NY^Miami, FL
4029^New York, NY^Minneapolis, MN
4032^New York, NY^West Palm Beach/Palm Beach, FL
4034^New York, NY^Fort Myers, FL
4036^New York, NY^Tampa, FL
4038^Little Rock, AR^Atlanta, GA
4039^Little Rock, AR^Atlanta, GA
4041^Kansas City, MO^Atlanta, GA
4050^Orlando, FL^Atlanta, GA
4051^Orlando, FL^Atlanta, GA
4053^Orlando, FL^Boston, MA
4056^Orlando, FL^Cincinnati, OH
4059^Orlando, FL^Detroit, MI
4064^Orlando, FL^New York, NY
4065^Orlando, FL^Los Angeles, CA
4066^Orlando, FL^New York, NY
