CRIM	ZN	INDUS	CHAS	NOX	RM	AGE	DIS	RAD	TAX	PTRATIO	B	LSTAT	MEDV
0.04684	0.0	3.41	0	0.4890	6.417	66.1	30.923	2	270	17.8	392.18	8.81	22.6
0.03932	0.0	3.41	0	0.4890	6.405	73.9	30.921	2	270	17.8	393.55	8.20	22.0
0.04203	28.0	15.04	0	0.4640	6.442	53.6	36.659	4	270	18.2	395.01	8.16	22.9
0.02875	28.0	15.04	0	0.4640	6.211	28.9	36.659	4	270	18.2	396.33	6.21	25.0
0.04294	28.0	15.04	0	0.4640	6.249	77.3	36.150	4	270	18.2	396.90	10.59	20.6
0.12204	0.0	2.89	0	0.4450	6.625	57.8	34.952	2	276	18.0	357.98	6.65	28.4
0.11504	0.0	2.89	0	0.4450	6.163	69.6	34.952	2	276	18.0	391.83	11.34	21.4
0.12083	0.0	2.89	0	0.4450	8.069	76.0	34.952	2	276	18.0	396.90	4.21	38.7
0.08187	0.0	2.89	0	0.4450	7.820	36.9	34.952	2	276	18.0	393.53	3.57	43.8
0.06860	0.0	2.89	0	0.4450	7.416	62.5	34.952	2	276	18.0	396.90	6.19	33.2
0.14866	0.0	8.56	0	0.5200	6.727	79.9	27.778	5	384	20.9	394.76	9.42	27.5
0.11432	0.0	8.56	0	0.5200	6.781	71.3	28.561	5	384	20.9	395.58	7.67	26.5
0.22876	0.0	8.56	0	0.5200	6.405	85.4	27.147	5	384	20.9	70.80	10.63	18.6
0.21161	0.0	8.56	0	0.5200	6.137	87.4	27.147	5	384	20.9	394.47	13.44	19.3
0.13960	0.0	8.56	0	0.5200	6.167	90.0	24.210	5	384	20.9	392.69	12.33	20.1
0.13262	0.0	8.56	0	0.5200	5.851	96.7	21.069	5	384	20.9	394.05	16.47	19.5
0.17120	0.0	8.56	0	0.5200	5.836	91.9	22.110	5	384	20.9	395.67	18.66	19.5
0.13117	0.0	8.56	0	0.5200	6.127	85.2	21.224	5	384	20.9	387.69	14.09	20.4
0.12802	0.0	8.56	0	0.5200	6.474	97.1	24.329	5	384	20.9	395.24	12.27	19.8
0.26363	0.0	8.56	0	0.5200	6.229	91.2	25.451	5	384	20.9	391.23	15.55	19.4
0.10793	0.0	8.56	0	0.5200	6.195	54.4	27.778	5	384	20.9	393.49	13.00	21.7
0.10084	0.0	10.01	0	0.5470	6.715	81.6	26.775	6	432	17.8	395.59	10.16	22.8
0.12329	0.0	10.01	0	0.5470	5.913	92.9	23.534	6	432	17.8	394.95	16.21	18.8
0.22212	0.0	10.01	0	0.5470	6.092	95.4	25.480	6	432	17.8	396.90	17.09	18.7
0.14231	0.0	10.01	0	0.5470	6.254	84.2	22.565	6	432	17.8	388.74	10.45	18.5
0.17134	0.0	10.01	0	0.5470	5.928	88.2	24.631	6	432	17.8	344.91	15.76	18.3
0.13158	0.0	10.01	0	0.5470	6.176	72.5	27.301	6	432	17.8	393.30	12.04	21.2
0.15098	0.0	10.01	0	0.5470	6.021	82.6	27.474	6	432	17.8	394.51	10.30	19.2
0.13058	0.0	10.01	0	0.5470	5.872	73.1	24.775	6	432	17.8	338.63	15.37	20.4
0.14476	0.0	10.01	0	0.5470	5.731	65.2	27.592	6	432	17.8	391.50	13.61	19.3
0.06899	0.0	25.65	0	0.5810	5.870	69.7	22.577	2	188	19.1	389.15	14.37	22.0
0.07165	0.0	25.65	0	0.5810	6.004	84.1	21.974	2	188	19.1	377.67	14.27	20.3
0.09299	0.0	25.65	0	0.5810	5.961	92.9	20.869	2	188	19.1	378.09	17.93	20.5
0.15038	0.0	25.65	0	0.5810	5.856	97.0	19.444	2	188	19.1	370.31	25.41	17.3
0.09849	0.0	25.65	0	0.5810	5.879	95.8	20.063	2	188	19.1	379.38	17.58	18.8
0.16902	0.0	25.65	0	0.5810	5.986	88.4	19.929	2	188	19.1	385.02	14.81	21.4
0.38735	0.0	25.65	0	0.5810	5.613	95.6	17.572	2	188	19.1	359.29	27.26	15.7
0.25915	0.0	21.89	0	0.6240	5.693	96.0	17.883	4	437	21.2	392.11	17.19	16.2
0.32543	0.0	21.89	0	0.6240	6.431	98.8	18.125	4	437	21.2	396.90	15.39	18.0
0.88125	0.0	21.89	0	0.6240	5.637	94.7	19.799	4	437	21.2	396.90	18.34	14.3
0.34006	0.0	21.89	0	0.6240	6.458	98.9	21.185	4	437	21.2	395.04	12.60	19.2
119.294	0.0	21.89	0	0.6240	6.326	97.7	22.710	4	437	21.2	396.90	12.26	19.6
0.59005	0.0	21.89	0	0.6240	6.372	97.9	23.274	4	437	21.2	385.76	11.12	23.0
0.32982	0.0	21.89	0	0.6240	5.822	95.4	24.699	4	437	21.2	388.69	15.03	18.4
0.97617	0.0	21.89	0	0.6240	5.757	98.4	23.460	4	437	21.2	262.76	17.31	15.6
0.55778	0.0	21.89	0	0.6240	6.335	98.2	21.107	4	437	21.2	394.67	16.96	18.1
0.32264	0.0	21.89	0	0.6240	5.942	93.5	19.669	4	437	21.2	378.25	16.90	17.4
0.35233	0.0	21.89	0	0.6240	6.454	98.4	18.498	4	437	21.2	394.08	14.59	17.1
0.24980	0.0	21.89	0	0.6240	5.857	98.2	16.686	4	437	21.2	392.04	21.32	13.3
0.54452	0.0	21.89	0	0.6240	6.151	97.9	16.687	4	437	21.2	396.90	18.46	17.8
0.29090	0.0	21.89	0	0.6240	6.174	93.6	16.119	4	437	21.2	388.08	24.16	14.0
162.864	0.0	21.89	0	0.6240	5.019	100.0	14.394	4	437	21.2	396.90	34.41	14.4
332.105	0.0	19.58	1	0.8710	5.403	100.0	13.216	5	403	14.7	396.90	26.82	13.4
409.740	0.0	19.58	0	0.8710	5.468	100.0	14.118	5	403	14.7	396.90	26.42	15.6
277.974	0.0	19.58	0	0.8710	4.903	97.8	13.459	5	403	14.7	396.90	29.29	11.8
237.934	0.0	19.58	0	0.8710	6.130	100.0	14.191	5	403	14.7	172.91	27.80	13.8
215.505	0.0	19.58	0	0.8710	5.628	100.0	15.166	5	403	14.7	169.27	16.65	15.6
236.862	0.0	19.58	0	0.8710	4.926	95.7	14.608	5	403	14.7	391.71	29.53	14.6
233.099	0.0	19.58	0	0.8710	5.186	93.8	15.296	5	403	14.7	356.99	28.32	17.8
273.397	0.0	19.58	0	0.8710	5.597	94.9	15.257	5	403	14.7	351.85	21.45	15.4
165.660	0.0	19.58	0	0.8710	6.122	97.3	16.180	5	403	14.7	372.80	14.10	21.5
149.632	0.0	19.58	0	0.8710	5.404	100.0	15.916	5	403	14.7	341.60	13.28	19.6
112.658	0.0	19.58	1	0.8710	5.012	88.0	16.102	5	403	14.7	343.28	12.12	15.3
214.918	0.0	19.58	0	0.8710	5.709	98.5	16.232	5	403	14.7	261.95	15.79	19.4
141.385	0.0	19.58	1	0.8710	6.129	96.0	17.494	5	403	14.7	321.02	15.12	17.0
353.501	0.0	19.58	1	0.8710	6.152	82.6	17.455	5	403	14.7	88.01	15.02	15.6
244.668	0.0	19.58	0	0.8710	5.272	94.0	17.364	5	403	14.7	88.63	16.14	13.1
122.358	0.0	19.58	0	0.6050	6.943	97.4	18.773	5	403	14.7	363.43	4.59	41.3
134.284	0.0	19.58	0	0.6050	6.066	100.0	17.573	5	403	14.7	353.89	6.43	24.3
142.502	0.0	19.58	0	0.8710	6.510	100.0	17.659	5	403	14.7	364.31	7.39	23.3
127.346	0.0	19.58	1	0.6050	6.250	92.6	17.984	5	403	14.7	338.92	5.50	27.0
146.336	0.0	19.58	0	0.6050	7.489	90.8	19.709	5	403	14.7	374.43	1.73	50.0
183.377	0.0	19.58	1	0.6050	7.802	98.2	20.407	5	403	14.7	389.61	1.92	50.0
151.902	0.0	19.58	1	0.6050	8.375	93.9	21.620	5	403	14.7	388.45	3.32	50.0
224.236	0.0	19.58	0	0.6050	5.854	91.8	24.220	5	403	14.7	395.11	11.64	22.7
292.400	0.0	19.58	0	0.6050	6.101	93.0	22.834	5	403	14.7	240.16	9.81	25.0
201.019	0.0	19.58	0	0.6050	7.929	96.2	20.459	5	403	14.7	369.30	3.70	50.0
180.028	0.0	19.58	0	0.6050	5.877	79.2	24.259	5	403	14.7	227.61	12.14	23.8
230.040	0.0	19.58	0	0.6050	6.319	96.1	21.000	5	403	14.7	297.09	11.10	23.8
244.953	0.0	19.58	0	0.6050	6.402	95.2	22.625	5	403	14.7	330.04	11.32	22.3
120.742	0.0	19.58	0	0.6050	5.875	94.6	24.259	5	403	14.7	292.29	14.43	17.4
231.390	0.0	19.58	0	0.6050	5.880	97.3	23.887	5	403	14.7	348.13	12.03	19.1
0.13914	0.0	4.05	0	0.5100	5.572	88.5	25.961	5	296	16.6	396.90	14.69	23.1
0.09178	0.0	4.05	0	0.5100	6.416	84.1	26.463	5	296	16.6	395.50	9.04	23.6
0.08447	0.0	4.05	0	0.5100	5.859	68.7	27.019	5	296	16.6	393.23	9.64	22.6
0.06664	0.0	4.05	0	0.5100	6.546	33.1	31.323	5	296	16.6	390.96	5.33	29.4
0.07022	0.0	4.05	0	0.5100	6.020	47.2	35.549	5	296	16.6	393.23	10.11	23.2
0.05425	0.0	4.05	0	0.5100	6.315	73.4	33.175	5	296	16.6	395.60	6.29	24.6
0.06642	0.0	4.05	0	0.5100	6.860	74.4	29.153	5	296	16.6	391.27	6.92	29.9
0.05780	0.0	2.46	0	0.4880	6.980	58.4	28.290	3	193	17.8	396.90	5.04	37.2
0.06588	0.0	2.46	0	0.4880	7.765	83.3	27.410	3	193	17.8	395.56	7.56	39.8
0.06888	0.0	2.46	0	0.4880	6.144	62.2	25.979	3	193	17.8	396.90	9.45	36.2
0.09103	0.0	2.46	0	0.4880	7.155	92.2	27.006	3	193	17.8	394.12	4.82	37.9
0.10008	0.0	2.46	0	0.4880	6.563	95.6	28.470	3	193	17.8	396.90	5.68	32.5
0.08308	0.0	2.46	0	0.4880	5.604	89.8	29.879	3	193	17.8	391.00	13.98	26.4
0.06047	0.0	2.46	0	0.4880	6.153	68.8	32.797	3	193	17.8	387.11	13.15	29.6
0.05602	0.0	2.46	0	0.4880	7.831	53.6	31.992	3	193	17.8	392.63	4.45	50.0
0.07875	45.0	3.44	0	0.4370	6.782	41.1	37.886	5	398	15.2	393.87	6.68	32.0
0.12579	45.0	3.44	0	0.4370	6.556	29.1	45.667	5	398	15.2	382.84	4.56	29.8
0.08370	45.0	3.44	0	0.4370	7.185	38.9	45.667	5	398	15.2	396.90	5.39	34.9
0.09068	45.0	3.44	0	0.4370	6.951	21.5	64.798	5	398	15.2	377.68	5.10	37.0
0.06911	45.0	3.44	0	0.4370	6.739	30.8	64.798	5	398	15.2	389.71	4.69	30.5
0.08664	45.0	3.44	0	0.4370	7.178	26.3	64.798	5	398	15.2	390.49	2.87	36.4
0.02187	60.0	2.93	0	0.4010	6.800	9.9	62.196	1	265	15.6	393.37	5.03	31.1
0.01439	60.0	2.93	0	0.4010	6.604	18.8	62.196	1	265	15.6	376.70	4.38	29.1
0.01381	80.0	0.46	0	0.4220	7.875	32.0	56.484	4	255	14.4	394.23	2.97	50.0
0.04011	80.0	1.52	0	0.4040	7.287	34.1	73.090	2	329	12.6	396.90	4.08	33.3
0.04666	80.0	1.52	0	0.4040	7.107	36.6	73.090	2	329	12.6	354.31	8.61	30.3
0.03768	80.0	1.52	0	0.4040	7.274	38.3	73.090	2	329	12.6	392.20	6.62	34.6
0.03150	95.0	1.47	0	0.4030	6.975	15.3	76.534	3	402	17.0	396.90	4.56	34.9
0.01778	95.0	1.47	0	0.4030	7.135	13.9	76.534	3	402	17.0	384.30	4.45	32.9
0.03445	82.5	2.03	0	0.4150	6.162	38.4	62.700	2	348	14.7	393.77	7.43	24.1
0.02177	82.5	2.03	0	0.4150	7.610	15.7	62.700	2	348	14.7	395.38	3.11	42.3
0.03510	95.0	2.68	0	0.4161	7.853	33.2	51.180	4	224	14.7	392.78	3.81	48.5
0.02009	95.0	2.68	0	0.4161	8.034	31.9	51.180	4	224	14.7	390.55	2.88	50.0
0.13642	0.0	10.59	0	0.4890	5.891	22.3	39.454	4	277	18.6	396.90	10.87	22.6
0.22969	0.0	10.59	0	0.4890	6.326	52.5	43.549	4	277	18.6	394.87	10.97	24.4
0.25199	0.0	10.59	0	0.4890	5.783	72.7	43.549	4	277	18.6	389.43	18.06	22.5
0.13587	0.0	10.59	1	0.4890	6.064	59.1	42.392	4	277	18.6	381.32	14.66	24.4
0.43571	0.0	10.59	1	0.4890	5.344	100.0	38.750	4	277	18.6	396.90	23.09	20.0
0.17446	0.0	10.59	1	0.4890	5.960	92.1	38.771	4	277	18.6	393.25	17.27	21.7
0.37578	0.0	10.59	1	0.4890	5.404	88.6	36.650	4	277	18.6	395.24	23.98	19.3
0.21719	0.0	10.59	1	0.4890	5.807	53.8	36.526	4	277	18.6	390.94	16.03	22.4
0.14052	0.0	10.59	0	0.4890	6.375	32.3	39.454	4	277	18.6	385.81	9.38	28.1
0.28955	0.0	10.59	0	0.4890	5.412	9.8	35.875	4	277	18.6	348.93	29.55	23.7
0.19802	0.0	10.59	0	0.4890	6.182	42.4	39.454	4	277	18.6	393.63	9.47	25.0
0.04560	0.0	13.89	1	0.5500	5.888	56.0	31.121	5	276	16.4	392.80	13.51	23.3
0.07013	0.0	13.89	0	0.5500	6.642	85.1	34.211	5	276	16.4	392.78	9.69	28.7
0.11069	0.0	13.89	1	0.5500	5.951	93.8	28.893	5	276	16.4	396.90	17.92	21.5
0.11425	0.0	13.89	1	0.5500	6.373	92.4	33.633	5	276	16.4	393.74	10.50	23.0
0.35809	0.0	6.20	1	0.5070	6.951	88.5	28.617	8	307	17.4	391.70	9.71	26.7
0.40771	0.0	6.20	1	0.5070	6.164	91.3	30.480	8	307	17.4	395.24	21.46	21.7
0.62356	0.0	6.20	1	0.5070	6.879	77.7	32.721	8	307	17.4	390.39	9.93	27.5
0.61470	0.0	6.20	0	0.5070	6.618	80.8	32.721	8	307	17.4	396.90	7.60	30.1
0.31533	0.0	6.20	0	0.5040	8.266	78.3	28.944	8	307	17.4	385.05	4.14	44.8
0.52693	0.0	6.20	0	0.5040	8.725	83.0	28.944	8	307	17.4	382.00	4.63	50.0
0.38214	0.0	6.20	0	0.5040	8.040	86.5	32.157	8	307	17.4	387.38	3.13	37.6
0.41238	0.0	6.20	0	0.5040	7.163	79.9	32.157	8	307	17.4	372.08	6.36	31.6
0.29819	0.0	6.20	0	0.5040	7.686	17.0	33.751	8	307	17.4	377.51	3.92	46.7
0.44178	0.0	6.20	0	0.5040	6.552	21.4	33.751	8	307	17.4	380.34	3.76	31.5
0.53700	0.0	6.20	0	0.5040	5.981	68.1	36.715	8	307	17.4	378.35	11.65	24.3
0.46296	0.0	6.20	0	0.5040	7.412	76.9	36.715	8	307	17.4	376.14	5.25	31.7
0.57529	0.0	6.20	0	0.5070	8.337	73.3	38.384	8	307	17.4	385.91	2.47	41.7
0.33147	0.0	6.20	0	0.5070	8.247	70.4	36.519	8	307	17.4	378.95	3.95	48.3
0.44791	0.0	6.20	1	0.5070	6.726	66.5	36.519	8	307	17.4	360.20	8.05	29.0
0.33045	0.0	6.20	0	0.5070	6.086	61.5	36.519	8	307	17.4	376.75	10.88	24.0
0.52058	0.0	6.20	1	0.5070	6.631	76.5	41.480	8	307	17.4	388.45	9.54	25.1
0.51183	0.0	6.20	0	0.5070	7.358	71.6	41.480	8	307	17.4	390.07	4.73	31.5
0.08244	30.0	4.93	0	0.4280	6.481	18.5	61.899	6	300	16.6	379.41	6.36	23.7
0.09252	30.0	4.93	0	0.4280	6.606	42.2	61.899	6	300	16.6	383.78	7.37	23.3
0.11329	30.0	4.93	0	0.4280	6.897	54.3	63.361	6	300	16.6	391.25	11.38	22.0
0.10612	30.0	4.93	0	0.4280	6.095	65.1	63.361	6	300	16.6	394.62	12.40	20.1
0.10290	30.0	4.93	0	0.4280	6.358	52.9	70.355	6	300	16.6	372.75	11.22	22.2
0.12757	30.0	4.93	0	0.4280	6.393	7.8	70.355	6	300	16.6	374.71	5.19	23.7
0.20608	22.0	5.86	0	0.4310	5.593	76.5	79.549	7	330	19.1	372.49	12.50	17.6
0.19133	22.0	5.86	0	0.4310	5.605	70.2	79.549	7	330	19.1	389.13	18.46	18.5
0.33983	22.0	5.86	0	0.4310	6.108	34.9	80.555	7	330	19.1	390.18	9.16	24.3
0.19657	22.0	5.86	0	0.4310	6.226	79.2	80.555	7	330	19.1	376.14	10.15	20.5
0.16439	22.0	5.86	0	0.4310	6.433	49.1	78.265	7	330	19.1	374.71	9.52	24.5
0.19073	22.0	5.86	0	0.4310	6.718	17.5	78.265	7	330	19.1	393.74	6.56	26.2
0.14030	22.0	5.86	0	0.4310	6.487	13.0	73.967	7	330	19.1	396.28	5.90	24.4
0.21409	22.0	5.86	0	0.4310	6.438	8.9	73.967	7	330	19.1	377.07	3.59	24.8
0.08221	22.0	5.86	0	0.4310	6.957	6.8	89.067	7	330	19.1	386.09	3.53	29.6
0.36894	22.0	5.86	0	0.4310	8.259	8.4	89.067	7	330	19.1	396.90	3.54	42.8
0.04819	80.0	3.64	0	0.3920	6.108	32.0	92.203	1	315	16.4	392.89	6.57	21.9
0.03548	80.0	3.64	0	0.3920	5.876	19.1	92.203	1	315	16.4	395.18	9.25	20.9
0.01538	90.0	3.75	0	0.3940	7.454	34.2	63.361	3	244	15.9	386.34	3.11	44.0
0.61154	20.0	3.97	0	0.6470	8.704	86.9	18.010	5	264	13.0	389.70	5.12	50.0
0.66351	20.0	3.97	0	0.6470	7.333	100.0	18.946	5	264	13.0	383.29	7.79	36.0
0.65665	20.0	3.97	0	0.6470	6.842	100.0	20.107	5	264	13.0	391.93	6.90	30.1
0.54011	20.0	3.97	0	0.6470	7.203	81.8	21.121	5	264	13.0	392.80	9.59	33.8
0.53412	20.0	3.97	0	0.6470	7.520	89.4	21.398	5	264	13.0	388.37	7.26	43.1
0.52014	20.0	3.97	0	0.6470	8.398	91.5	22.885	5	264	13.0	386.86	5.91	48.8
0.54050	20.0	3.97	0	0.5750	7.470	52.6	28.720	5	264	13.0	390.30	3.16	43.5
0.09065	20.0	6.96	1	0.4640	5.920	61.5	39.175	3	223	18.6	391.34	13.65	20.7
0.29916	20.0	6.96	0	0.4640	5.856	42.1	44.290	3	223	18.6	388.65	13.00	21.1
0.16211	20.0	6.96	0	0.4640	6.240	16.3	44.290	3	223	18.6	396.90	6.59	25.2
0.11460	20.0	6.96	0	0.4640	6.538	58.7	39.175	3	223	18.6	394.96	7.73	24.4
0.22188	20.0	6.96	1	0.4640	7.691	51.8	43.665	3	223	18.6	390.77	6.58	35.2
0.05644	40.0	6.41	1	0.4470	6.758	32.9	40.776	4	254	17.6	396.90	3.53	32.4
0.09604	40.0	6.41	0	0.4470	6.854	42.8	42.673	4	254	17.6	396.90	2.98	32.0
0.10469	40.0	6.41	1	0.4470	7.267	49.0	47.872	4	254	17.6	389.25	6.05	33.2
0.06127	40.0	6.41	1	0.4470	6.826	27.6	48.628	4	254	17.6	393.45	4.16	33.1
0.07978	40.0	6.41	0	0.4470	6.482	32.1	41.403	4	254	17.6	396.90	7.19	29.1
0.21038	20.0	3.33	0	0.4429	6.812	32.2	41.007	5	216	14.9	396.90	4.85	35.1
0.03578	20.0	3.33	0	0.4429	7.820	64.5	46.947	5	216	14.9	387.31	3.76	45.4
0.03705	20.0	3.33	0	0.4429	6.968	37.2	52.447	5	216	14.9	392.23	4.59	35.4
0.06129	20.0	3.33	1	0.4429	7.645	49.7	52.119	5	216	14.9	377.07	3.01	46.0
0.01501	90.0	1.21	1	0.4010	7.923	24.8	58.850	1	198	13.6	395.52	3.16	50.0
0.00906	90.0	2.97	0	0.4000	7.088	20.8	73.073	1	285	15.3	394.72	7.85	32.2
0.01096	55.0	2.25	0	0.3890	6.453	31.9	73.073	1	300	15.3	394.72	8.23	22.0
0.01965	80.0	1.76	0	0.3850	6.230	31.5	90.892	1	241	18.2	341.60	12.93	20.1
