"","Fecha","Incidente"
"39","29-11-2017 07:55","Accidente de tráfico. Olmedilla de Alarcón (CU)"
"40","30-11-2017 13:01","Accidente de tráfico. Torre de Juan Abad (CR)"
"41","30-11-2017 14:57","Accidente de tráfico. Fuensalida (TO)"
"42","30-11-2017 20:56","Accidente de tráfico. Burguillos de Toledo (TO)"
"43","01-12-2017 01:05","Incendio. Puertollano (CR)"
"44","01-12-2017 11:53","Accidente de tráfico. Maranchón (Guadalajara)."
"45","02-12-2017 11:40","Accidente de caza. Bogarra (AB)"
"46","02-12-2017 15:32","Incendio. Almadén (CR)"
"47","03-12-2017 00:14","Seguridad ciudadana. Albacete (AB)"
"48","03-12-2017 15:40","Accidente de tráfico. Calera y Chozas (TO)"
"49","04-12-2017 09:48","Terremoto. Caudete (AB)"
"50","04-12-2017 13:39","Accidente de tráfico. La Guardia (TO)"
"51","04-12-2017 23:06","Incendio. Agramón - Hellín (AB)"
"52","07-12-2017 01:33","Incendio. Toledo (TO)"
"53","07-12-2017 20:21","Accidente de tráfico. La Solana (CR)"
"54","08-12-2017 12:07","Ataque de perros. Yuncos (TO)"
"55","08-12-2017 13:09","Accidente. Loranca de Tajuña (GU)"
"56","09-12-2017 10:10","Incendio. Villacañas (TO)"
"57","09-12-2017 11:19","Accidente de tráfico. El Casar (GU)"
"58","09-12-2017 16:08","Incendio. Santa Cruz de la Zarza (TO)"
"59","10-12-2017 07:18","Incendio. Albacete (AB)"
"60","10-12-2017 13:18","Accidente de ciclista. Abenójar (CR)"
"61","10-12-2017 16:00","Fenómenos Meteorológicos Adversos. Castilla-La Mancha"
"62","11-12-2017 13:06","Accidente de tráfico. La Frontera (CU)"
"63","12-12-2017 07:31","Accidente de tráfico. Illescas (TO)"
"64","12-12-2017 16:29","Accidente de piscina. Malagón (CR)"
"65","12-12-2017 18:16","Seguridad ciudadana. Aldeanueva de Barbarroya (TO)"
"66","13-12-2017 08:38","Desalojo. Toledo (TO)"
"67","14-12-2017 16:31","Accidente laboral. Fuensalida (TO)"
"68","16-12-2017 20:47","Enfermedad. Villarrobledo (AB)"
"69","16-12-2017 22:47","Seguridad ciudadana. Campo de Criptana (CR)"
"70","17-12-2017 02:56","Accidente de tráfico. Seseña (TO)"
"71","17-12-2017 06:54","Incendio. El Casar (GU)"
"72","17-12-2017 13:26","Accidente de caza. Cabezarrubias del Puerto (CR)"
"73","18-12-2017 05:57","Accidente de tráfico. Socuéllamos (CR)"
"74","20-12-2017 03:57","Precipitación. La Gineta (AB)"
"75","20-12-2017 05:29","Terremoto. Yebra (GU)"
"76","02-01-2018 01:48","Ataque de perro. Guadalajara (GU)"
"77","02-01-2018 11:26","Ataque de perros. Valdepeñas (CR)"
"78","02-01-2018 12:26","Accidente de tráfico. Vallehermoso de la Fuente (CU)"
"79","02-01-2018 21:16","Accidente laboral. Talavera de la Reina (TO)"
"80","03-01-2018 11:16","Ataque de perros. Méntrida (TO)"
"81","03-01-2018 14:40","Accidente deportivo. Valverde de los Arroyos (GU)"
"82","04-01-2018 19:52","Incendio. Puertollano (CR)"
"83","05-01-2018 19:52","Seguridad ciudadana. Villanueva de los Infantes (CR)"
"84","06-01-2018 06:43","Accidente de tráfico. Budia (GU)"
"85","08-01-2018 15:07","Accidente de tráfico. Almadén (CR)"
"86","08-01-2018 15:30","Incidencias por nieve. Majalrayo (GU)"
"87","09-01-2018 12:45","Derrumbe de vivienda. Tarancón (CU)"
"88","10-01-2018 06:50","Incendio. Azuqueca de Henares (GU)"
"89","10-01-2018 09:39","Incendio. Albacete (AB)"
"90","11-01-2018 08:11","Fallecimiento en vía pública. Guadalajara (GU)"
"91","11-01-2018 08:29","Incidencias por nieve. Molina de Aragón (GU)"
"92","11-01-2018 08:57","Incidencias por nieve. Arcas (CU)"
"93","11-01-2018 13:12","Seguridad ciudadana. Tarancón (CU)"
"94","14-01-2018 09:35","Accidente de tráfico. Villarrobledo (AB)"
"95","14-01-2018 12:48","Accidente de caza. Las Casas (Ciudad Real)"
"96","15-01-2018 10:45","Accidente de tráfico. Humanes (GU)"
"97","15-01-2018 11:02","Incendio. Talavera de la Reina (TO)"
"98","17-01-2018 11:55","Accidente de tráfico. Saúca (GU)"
"99","17-01-2018 15:02","Accidente de tráfico. Daimiel (CR)"
"100","18-01-2018 19:29","Accidente chimenea. El Viso de San Juan (TO)"
"101","19-01-2018 17:59","Accidente de tráfico. Madridejos (TO)"
"102","20-01-2018 04:19","Accidente de tráfico. Ocaña (TO)"
"103","20-01-2018 08:41","Accidente de tráfico. Guadalajara (GU)"
"104","20-01-2018 17:26","Accidente de tráfico. Camarena (TO)"
"105","23-01-2018 20:27","Incendio. Riópar Viejo (Albacete)"
"106","24-01-2018 10:30","Accidente vía férrea. Cardenete (CU)"
"107","24-01-2018 17:51","Incendio. Ocaña (TO)"
"108","25-01-2018 10:44","Incendio. Añover de Tajo (TO)"
"109","26-01-2018 05:27","Incidencias por nieve. Riópar (AB)"
"110","26-01-2018 10:53","Incendio. Manzanares (CR)"
"111","26-01-2018 12:08","Accidente ferroviario. Caudete (AB)"
"112","26-01-2018 15:22","Incendio. Tobarra (AB)"
"113","26-01-2018 17:14","Accidente de tráfico. Corral de Calatrava (CR)"
"114","27-01-2018 15:38","Accidente de tráfico. Mascaraque (TO)"
"115","27-01-2018 19:24","Accidente de tráfico. Las Valeras (CU)"
"116","28-01-2018 08:41","Incidencias por nieve. Villaverde de Guadalimar (AB)"
"117","28-01-2018 08:59","Incidencias en suministros básicos. Nerpio (AB)"
"118","29-01-2018 22:12","Incidencias en suministros básicos. Yeste (AB)"
"119","30-01-2018 18:38","Accidente laboral. Totanés (TO)"
"120","31-01-2018 13:09","Accidente de tráfico. Cazalegas (TO)"
"121","01-02-2018 20:10","Incendio. Novés (TO)"
"122","02-02-2018 23:35","Incendio. Carranque (TO)"
"123","03-02-2018 19:20","Accidente de tráfico. Esquivias (TO)"
"124","04-02-2018 15:35","Incidencias por nieve. Dosbarrios (TO)"
"125","04-02-2018 16:37","Incidencias por nieve. Ledanca (GU)"
"126","05-02-2018 06:06","Incidencias en suministros básicos. Ossa de Montiel (AB)"
"127","05-02-2018 08:36","Incidencias por nieve. Enguídanos (CU)"
"128","05-02-2018 10:18","Incidencias por nieve. Alcolea del Pinar (GU)"
"129","05-02-2018 17:53","Incidencias por nieve. El Casar (GU)"
"130","05-02-2018 19:45","Incidencias por nieve. El Cubillo de Uceda (GU)"
"131","08-02-2018 15:57","Incendio. Santa Cruz del Retamar (TO)"
"132","10-02-2018 14:50","Incendio. Ciudad Real (CR)"
"133","10-02-2018 15:21","Incendio. Villarrobledo (AB)"
"134","11-02-2018 11:36","Escape de gas. Toledo (TO)"
"135","11-02-2018 12:02","Accidente deportivo. Nombela (TO)"
"136","11-02-2018 16:41","Accidente de tráfico. Seseña (TO)"
"137","11-02-2018 18:17","Accidente de tráfico. Villarrobledo (AB)"
"138","12-02-2018 11:15","Accidente de tráfico. Casarrubios del Monte (TO)"
"139","12-02-2018 15:07","Incendio. Cuenca (CU)"
"140","14-02-2018 06:38","Accidente de tráfico. Saúca (GU)"
"141","14-02-2018 20:24","Accidente de tráfico. San Román de los Montes (TO)"
"142","15-02-2018 17:51","Accidente de caza. Almadén (CR)"
"143","16-02-2018 17:40","Accidente deportivo. Alarilla (GU)"
"144","16-02-2018 23:50","Accidente de tráfico. Piedrabuena (CR)"
"145","17-02-2018 14:30","Accidente deportivo. Puebla de Don Rodrigo (CR)"
"146","17-02-2018 16:58","Ataque de perros. Gálvez (TO)"
"147","18-02-2018 13:41","Accidente de tráfico. Casas de los Pinos (CU)"
"148","21-02-2018 11:05","Accidente laboral. Las Pedroñeras (CU)"
"149","21-02-2018 17:45","Seguridad ciudadana. Albacete (AB)"
"150","21-02-2018 18:33","Accidente de tráfico. Burujón (TO)"
"151","22-02-2018 13:32","Incendio. Albacete (AB)"
"152","22-02-2018 15:02","Accidente de tráfico. Quintanar de la Orden (TO)"
"153","24-02-2018 21:48","Incendio. Talavera de la Reina (TO)"
"154","25-02-2018 01:13","Incendio. Fuensalida (TO)"
"155","25-02-2018 12:21","Accidente de tráfico. Las Mesas (CU)"
"156","25-02-2018 19:44","Incidencias por nieve. Majaelrayo (GU)"
"157","25-02-2018 20:48","Intoxicación por monóxido de carbono. Alcázar de San Juan (Ciudad Real)"
"158","26-02-2018 10:20","Incendio. Toledo (TO)"
"159","26-02-2018 22:37","Accidente de tráfico. San Carlos del Valle (CR)"
"160","27-02-2018 06:36","Accidente de tráfico. Almuradiel (CR)"
"161","27-02-2018 16:07","Avería de tren. Pozorrubielos de La Mancha (CU)"
"162","01-03-2018 17:55","Incidencias por temporal. Toledo (Toledo)."
"163","01-03-2018 18:12","Incidencias por viento. Consuegra (TO)"
"164","03-03-2018 12:56","Incendio. Consuegra (Toledo)"
"165","03-03-2018 14:15","Incendio. Toledo (TO)"
"166","03-03-2018 18:47","Escape de gas. Alovera (GU)"
"167","03-03-2018 21:02","Incendio. Villafranca de los Caballeros (TO)"
"168","04-03-2018 09:59","Accidente de tráfico. Almagro (TO)"
"169","05-03-2018 00:37","Accidente. Portillo de Toledo (TO)"
"170","05-03-2018 03:20","Incendio de un vehículo. Quintanar de la Orden (TO)"
"171","05-03-2018 15:16","Incidencias por nieve. Riópar (AB)"
"172","09-03-2018 00:01","Accidente de tráfico. Toledo (TO)"
"173","09-03-2018 10:40","Seguridad ciudadana. Ciudad Real (CR)"
"174","10-03-2018 09:33","Accidente laboral. La Roda (AB)"
"175","10-03-2018 18:12","Ataque de perros. Torrejón del Rey (GU)"
"176","11-03-2018 01:49","Accidente de tráfico. Albacete (AB)"
"177","12-03-2018 00:41","Incidencias por nieve. Masegosa (CU)"
"178","12-03-2018 05:07","Seguridad ciudadana. Guadalajara (GU)"
"179","14-03-2018 12:19","Seguridad ciudadana. Malagón (CR)"
"180","15-03-2018 07:55","Accidente de tráfico. Illescas (TO)"
"181","16-03-2018 15:59","Accidente de tráfico. Seseña (TO)"
"182","16-03-2018 18:40","Accidente de tráfico. Pozo Cañada (AB)"
"183","17-03-2018 22:40","Incidencias por nieve. Molinicos (AB)"
"184","17-03-2018 23:02","Incendio. Puertollano (CR)"
"185","18-03-2018 01:54","Accidente de tráfico. Villaescusa de Haro (CU)"
"186","19-03-2018 11:09","Accidente piscina. Illescas (TO)"
"187","20-03-2018 14:34","Accidente de tráfico. Zafra de Záncara (CU)"
"188","21-03-2018 09:32","Accidente de tráfico. Yebes (GU)"
"189","21-03-2018 10:41","Seguridad ciudadana. Manzanares (CR)"
"190","21-03-2018 23:07","Seguridad ciudadana. Argamasilla de Alba (CR)"
"191","22-03-2018 02:45","Precipitación. Añover de Tajo (TO)"
"192","23-03-2018 02:45","Incendio. Cabanillas del Campo (GU)"
"193","23-03-2018 16:00","Accidente de tráfico. La Guardia (TO)"
"194","24-03-2018 07:56","Hallazgo de cadáver. Santa Cruz del Retamar (TO)"
"195","24-03-2018 11:51","Accidente deportivo. Sacedón (GU)"
"196","24-03-2018 17:16","Accidente de tráfico. Santa Cruz de Mudela (CR)"
"197","25-03-2018 15:37","Incendio. La Villa de Don Fadrique (TO)"
"198","26-03-2018 22:10","Incendio. Almedina (CR)"
"199","27-03-2018 03:28","Incendio. Toledo (TO)"
"200","28-03-2018 03:10","Incendio. Villarrobledo (AB)"
"201","07-04-2018 22:52","Incendio. Albacete (AB)"
"202","09-04-2018 03:53","Intoxicación. Budia (GU)"
"203","10-04-2018 13:21","Incidencias por nieve. Vega del Codorno (CU)"
"204","10-04-2018 16:08","Incidencias por nieve. Peñalén (GU)"
"205","10-04-2018 16:17","Incidencias por nieve. El Recuenco (GU)"
"206","11-04-2018 03:24","Incidencias por nieve. Fuentenava de Jábaga (CU)"
"207","11-04-2018 05:40","Incendio. Puertollano (CR)"
"208","11-04-2018 06:20","Incidencias por nieve. Vianos (AB)"
"209","11-04-2018 07:49","Incidencias por nieve. Peralejos de las Truchas (GU)"
"210","11-04-2018 07:50","Incidencias por nieve. Peñalén (GU)"
"211","11-04-2018 09:24","Incidencias por nieve. Hombrados (GU)"
"212","11-04-2018 10:23","Incidencias por nieve. Galve de Sorbe (GU)"
"213","11-04-2018 12:35","Incidencias por nieve. Las Majadas (CU)"
"214","11-04-2018 14:09","Incidencias por nieve. Molina de Aragón (GU)"
"215","11-04-2018 16:17","Incidencias por nieve. Valdemeca (CU)"
"216","11-04-2018 17:49","Incidencia por nieve. Cuenca (CU)"
"217","12-04-2018 11:31","Incendio. Palomeque (TO)"
"218","13-04-2018 03:38","Salvamento y rescate. Ontígola (TO)"
"219","13-04-2018 22:23","Accidente de tráfico. Guadalajara (GU)"
"220","15-04-2018 13:54","Accidente de tráfico. Puertollano (CR)"
"221","15-04-2018 15:37","Accidente de senderismo. Herencia (CR)"
"222","16-04-2018 12:53","Incendio. Talavera de la Reina (TO)"
"223","17-04-2018 19:40","Accidente de tráfico. Puertollano (CR)"
"224","18-04-2018 20:41","Seguridad ciudadana. Albacete (AB)"
"225","18-04-2018 23:30","Precipitación. Horche (GU)"
"226","19-04-2018 06:58","Seguridad ciudadana. Almansa (AB)"
"227","19-04-2018 19:14","Incendio. Noblejas (TO)"
"228","20-04-2018 13:07","Incendio. Guadalajara (GU)"
"229","21-04-2018 18:07","Accidente de tráfico. Cabañas de la Sagra (TO)"
"230","24-04-2018 09:51","Accidente ferroviario. Calera y Chozas (TO)"
"231","25-04-2018 10:19","Accidente laboral. Las Pedroñeras (CU)"
"232","25-04-2018 13:04","Hallazgo de cadáver. Yeste (AB)"
"233","25-04-2018 13:27","Incendio. Albacete (AB)"
"234","25-04-2018 19:59","Seguridad ciudadana. Albacete (AB)"
"235","26-04-2018 00:02","Seguridad ciudadana. Guadalajara (GU)"
"236","26-04-2018 09:18","Accidente de tráfico. Daimiel (CR)"
"237","27-04-2018 10:00","Accidente de tráfico. Albacete (AB)"
"238","28-04-2018 23:38","Accidente de tráfico. Campo de Criptana (CR)"
"239","29-04-2018 20:23","Seguridad ciudadana. Albacete (AB)"
"240","01-05-2018 04:54","Seguridad ciudadana. Lominchar (TO)"
"241","01-05-2018 17:29","Incendio. Tarancón (CU)"
"242","04-05-2018 03:51","Incendio. Hellín (AB)"
"243","04-05-2018 08:46","Seguridad ciudadana. Las Ventas de Retamosa (TO)"
"244","06-05-2018 06:46","Accidente de tráfico. Cabañas de la Sagra (TO)"
"245","06-05-2018 22:46","Intoxicación por gas. Azuqueca de Henares (GU)"
"246","07-05-2018 12:08","Incendio. Pepino (TO)"
"247","07-05-2018 16:25","Seguridad ciudadana. Alcázar de San Juan (CR)"
"248","09-05-2018 00:03","Accidente de tráfico. Guadalajara (GU)"
"249","09-05-2018 21:47","Accidente. Puebla de Almenara (CU)"
"250","11-05-2018 19:12","Accidente de tráfico. Santa Cruz de Mudela (CR)"
"251","13-05-2018 07:23","Accidente de tráfico. Consuegra (TO)"
"252","13-05-2018 12:13","Accidente de tráfico. Luciana (CR)"
"253","13-05-2018 13:10","Incendio. Tomelloso (CR)"
"254","13-05-2018 21:16","Accidente de tráfico. Corral de Almaguer (TO)"
"255","15-05-2018 18:29","Incendio. El Casar (GU)"
"256","16-05-2018 22:55","Incendio. Pozo Cañada (AB)"
"257","17-05-2018 04:31","Accidente de tráfico. Azuqueca de Henares (GU)"
"258","17-05-2018 13:29","Incendio. Hellín. Agramón (AB)."
"259","17-05-2018 13:55","Hallado de cadáver. Fontanar (GU)"
"260","19-05-2018 02:42","Accidente de tráfico. Cuenca (CU)"
"261","19-05-2018 11:06","Accidente taurino. Galápagos (GU)"
"262","19-05-2018 14:45","Incendio. Los Navalmorales (TO)"
"263","21-05-2018 07:09","Incendio. Tierzo (U)"
"264","21-05-2018 10:36","Accidente de tráfico. Puerto Lápice (CR)"
"265","21-05-2018 12:11","Seguridad ciudadana. Toledo (TO)"
"266","24-05-2018 08:37","Incendio. Valdepeñas (CR)"
"267","24-05-2018 09:33","Incendio. Argamasilla de Calatrava (CR)"
"268","25-05-2018 10:16","Incendio. Albacete (AB)"
"269","26-05-2018 07:56","Seguridad ciudadana. Cuenca (CU)"
"270","27-05-2018 02:37","Incendio. Caudete (AB)"
"271","27-05-2018 10:43","Accidente ferroviario. Fontanar (GU)"
"272","27-05-2018 12:12","Intoxicación por gas. Anchuela del Campo - Establés (GU)"
"273","27-05-2018 13:56","Inundaciones. Valdepeñas (CR)"
"274","27-05-2018 14:28","Accidente de tráfico. San Clemente (CU)"
"275","27-05-2018 16:54","Incidencias por lluvia. Villares del Saz (CU)"
"276","29-05-2018 03:44","Accidente de tráfico. San Clemente (CU)"
"277","29-05-2018 09:16","Accidente de tráfico. Villalpardo (CU)"
"278","29-05-2018 11:04","Accidente de tráfico. Vara del Rey (CU)"
"279","29-05-2018 17:56","Incidencias por lluvia. Hellín (AB)"
"280","30-05-2018 05:36","Accidente de tráfico. La Roda (AB)"
"281","31-05-2018 11:38","Accidente de tráfico. La Iglesuela (TO)"
"282","01-06-2018 08:48","Accidente de tráfico. Daimiel (CR)"
"283","02-06-2018 11:42","Accidente deportivo. Cuenca (CU)"
"284","02-06-2018 17:27","Incidencias por lluvia. Burguillos de Toledo (TO)"
"285","03-06-2018 11:57","Incidencias por lluvia. Liétor (AB)"
"286","03-06-2018 19:45","Incidencias por lluvia. Elche de la Sierra (AB)"
"287","04-06-2018 13:51","Seguridad ciudadana. Albacete (AB)"
"288","05-06-2018 05:10","Derrumbe. Ontur (AB)"
"289","05-06-2018 09:25","Accidente de tráfico. Alcaudete de la Jara (TO)"
"290","05-06-2018 10:36","Accidente de tráfico. El Casar de Escalona (TO)"
"291","08-06-2018 09:22","Accidente de tráfico. Madridejos (TO)"
"292","10-06-2018 12:52","Accidente de ciclismo. Villa de Ves (AB)"
"293","10-06-2018 20:52","Ataque de perros. Guadalajara (GU)"
"294","10-06-2018 22:21","Incendio. Tomelloso (CR)"
"295","13-06-2018 20:45","Seguridad ciudadana. Membrilla (CR)"
"296","14-06-2018 03:30","Seguridad ciudadana. Camarena (TO)"
"297","14-06-2018 06:02","Incendio de camión. La Hinojosa (CU)"
"298","14-06-2018 07:22","Accidente de tráfico. Villahermosa (CR)"
"299","14-06-2018 07:22","Accidente de tractor. Villalpardo (CU)"
"300","16-06-2018 18:58","Accidente de tráfico. Zarza de Tajo (CU)"
"301","16-06-2018 21:07","Accidente de tráfico. Guadalajara (GU)"
"302","16-06-2018 23:43","Incendio. Seseña (TO)"
"303","17-06-2018 14:40","Accidente deportivo. Caudete (AB)"
"304","20-06-2018 01:30","Incendio. Toledo (TO)"
"305","20-06-2018 07:45","Incendio. Villarrobledo (AB)"
"306","20-06-2018 12:05","Incendio industrial. Alcázar de San Juan (CR)"
"307","20-06-2018 13:02","Accidente laboral. Alcázar de San Juan."
"308","21-06-2018 07:56","Accidente laboral. La Alberca de Záncara (CU)"
"309","22-06-2018 13:00","Accidente de tráfico. Trijueque (GU)"
"310","22-06-2018 14:05","Accidente de tráfico. Villatobas (TO)"
"311","23-06-2018 20:16","Avería de tren. Rielves (TO)"
"312","24-06-2018 04:24","Seguridad ciudadana. Ugena (TO)"
"313","24-06-2018 06:19","Accidente de tráfico. Daimiel (CR)"
"314","24-06-2018 07:55","Precipitación. Talavera de la Reina (TO)"
"315","24-06-2018 09:08","Desprendimiento de rocas. Cuenca (CU)"
"316","24-06-2018 16:36","Incendio industrial. Alcázar de San Juan (CR)"
"317","24-06-2018 19:00","Intoxicación. Casasimarro (CU)"
"318","25-06-2018 12:26","Accidente laboral. Paracuellos (CU)"
"319","25-06-2018 14:33","Incendio. Fuensalida (TO)"
"320","25-06-2018 16:18","Accidente de tráfico. Nambroca (TO)"
"321","25-06-2018 22:36","Incendio. Cedillo del Condado (TO)"
"322","26-06-2018 09:05","Accidente de tráfico. Elche de la Sierra (AB)"
"323","26-06-2018 12:28","Accidente laboral. Mora (TO)"
"324","26-06-2018 19:30","Precipitación. Cuenca (CU)"
"325","27-06-2018 21:14","Inundaciones. Quintanar del Rey (CU)"
"326","27-06-2018 22:19","Accidente de tráfico. Malagón (CR)"
"327","29-06-2018 06:06","Accidente de tráfico. Puerto Lápice (CR)"
"328","29-06-2018 16:50","Corte de carretera. Castilnuevo (GU)"
"329","30-06-2018 12:12","Seguridad ciudadana. Carrizosa (CR)"
"330","30-06-2018 18:24","Seguridad ciudadana. Iniesta (CU)"
"331","30-06-2018 22:53","Seguridad ciudadana. Albacete (AB)"
"332","30-06-2018 23:02","Caída de árboles. Tierzo (GU)"
"333","01-07-2018 00:06","Rescate deportivo. Zaorejas (GU)"
"334","01-07-2018 11:29","Accidente de tráfico. Chinchilla de Montearagón (AB)"
"335","01-07-2018 14:05","Accidente de tráfico. Calera y Chozas (TO)"
"336","01-07-2018 18:19","Incendio. Guadalajara (GU)"
"337","02-07-2018 07:51","Accidente de tráfico. La Roda (AB)"
"338","02-07-2018 16:19","Incendio. Las Ventas con Peña Aguilera (TO)"
"339","04-07-2018 02:41","Accidente de tráfico. Alovera (GU)"
"340","04-07-2018 10:26","Accidente laboral. Herencia (CR)"
"341","04-07-2018 13:14","Seguridad ciudadana. Escalona (TO)"
"342","05-07-2018 14:15","Incendio. Villamayor de Santiago (CU)"
"343","05-07-2018 21:43","Incendio industrial. Yuncos (TO)"
"344","06-07-2018 16:58","Accidente laboral. Ciudad Real (CR)"
"345","07-07-2018 21:30","Accidente deportivo. Ocaña (TO)"
"346","08-07-2018 09:59","Accidente de tráfico. Villaescusa de Haro (CU)"
"347","09-07-2018 20:51","Incendio. Argamasilla de Calatrava (CR)"
"348","10-07-2018 08:00","Accidente de tráfico. Consuegra (TO)"
"349","12-07-2018 05:42","Incendio. Albacete (AB)"
"350","12-07-2018 13:20","Incendio. Illescas (TO)"
"351","12-07-2018 21:28","Incendio industrial. Buenache de Alarcón (CU)"
"352","13-07-2018 05:39","Accidente de tráfico. Quintanar de la Orden (TO)"
"353","13-07-2018 23:04","Accidente de tráfico. Tembleque (TO)"
"354","13-07-2018 23:24","Seguridad ciudadana. Talavera de la Reina (TO)"
"355","14-07-2018 07:38","Accidente de tráfico. Torralba de Calatrava (CR)"
"356","14-07-2018 22:36","Ahogamiento. Ossa de Montiel (AB)"
"357","17-07-2018 12:14","Accidente de tráfico. La Frontera (CU)"
"358","17-07-2018 18:15","Incendio. Puertollano (CR)"
"359","17-07-2018 18:20","Accidente deportivo. Alarilla (GU)"
"360","17-07-2018 20:52","Accidente de tráfico. Guadalajara (GU)"
"361","17-07-2018 23:23","Accidente de tráfico. Almadén (CR)"
"362","18-07-2018 00:23","Accidente laboral. Alovera (GU)"
"363","19-07-2018 18:39","Accidente. Illescas (TO)"
"364","19-07-2018 21:56","Deflagración de gas. Montesclaros (TO)"
"365","20-07-2018 10:52","Accidente laboral. Los Pozuelos de Calatrava (CR)"
"366","20-07-2018 10:57","Incendio en industria. Herencia (CR)"
"367","20-07-2018 17:12","Accidente de tráfico. Agudo (CR)"
"368","21-07-2018 00:22","Seguridad ciudadana. Lillo (TO)"
"369","21-07-2018 17:47","Incendio. Ocaña (TO)"
"370","21-07-2018 18:47","Accidente de piscina. Armuña de Tajuña (GU)"
"371","21-07-2018 22:57","Accidente de tráfico. Illana (GU)"
"372","22-07-2018 01:45","Incendio. Membrilla (CR)"
"373","22-07-2018 23:18","Incendio. Talavera de la Reina (TO)"
"374","23-07-2018 14:25","Seguridad ciudadana. Toledo (TO)"
"375","23-07-2018 23:17","Incendio. Talavera de la Reina (TO)"
"376","24-07-2018 00:15","Accidente de piscina. Gerindote (TO)"
"377","24-07-2018 13:59","Pérdida/hallazgo. Navas de Estena (CR)"
"378","26-07-2018 15:20","Ahogamiento. Cuenca (CU)"
"379","26-07-2018 15:25","Accidente laboral. Toledo (TO)"
"380","26-07-2018 18:14","Accidente laboral. Alameda de la Sagra (TO)"
"381","27-07-2018 06:26","Accidente. Robledo (AB)"
"382","28-07-2018 14:38","Accidente de tráfico. Paredes de Sigüenza (GU)"
"383","29-07-2018 06:04","Seguridad ciudadana. Cabanillas del Campo (GU)"
"384","29-07-2018 10:44","Accidente de tráfico. La Huerce (GU)"
"385","29-07-2018 19:30","Accidente de senderismo. Enguídanos (CU)"
"386","31-07-2018 02:38","Accidente de tráfico. Chinchilla de Monte-Aragón (AB)"
"387","31-07-2018 10:04","Accidente laboral. Sisante (CU)"
"388","31-07-2018 11:07","Incendio. Ciudad Real (CR)"
"389","31-07-2018 15:24","Accidente de senderismo. Majalrayo (GU)"
"390","01-08-2018 12:00","Altas temperaturas. Castilla-La Mancha"
"391","01-08-2018 16:47","Accidente de tráfico. Ciudad Real (CR)"
"392","02-08-2018 11:58","Accidente de tráfico. La Recueja (AB)"
"393","03-08-2018 23:13","Seguridad ciudadana. Chinchilla de Monte-Aragón (AB)"
"394","04-08-2018 12:21","Accidente de tráfico. El Valle de Altomira (CU)"
"395","04-08-2018 17:56","Accidente deportivo. Villalba de la Sierra (CU)"
"396","04-08-2018 21:34","Ahogamiento. Viso del Marqués (CR)"
"397","05-08-2018 08:01","Accidente de tráfico. Miguelturra (CR)"
